nclusters fabric0 fabric1 fabric2 fabric3 fabric4 fabric5 fabric6 fabric7 fabric8 fabric9 fabric10 fabric11 
1 46.5834799842 15.9859377504 12.4406065031 8.20080502992 13.9334315622 7.80887329246 10.9315855116 12.9549038313 15.3955776108 9.1876233793 5.32819473651 29.3040730141 
2 39.4400055905 11.5479987832 10.0159881302 6.95137036377 12.0063553577 6.75761332163 8.10971849272 8.59188655473 11.8559399163 8.0161579014 3.85691228045 25.6860336594 
3 34.3037168849 10.4787434379 9.12163826977 6.64619419822 9.50649011135 6.1760255418 7.62905167251 7.45760916026 10.5523444453 7.29183701954 3.52910137838 22.417702765 
4 31.7131172876 9.88427535442 8.67568143615 6.28517843464 8.48775980961 5.8734071161 7.34104014345 6.10861453605 9.71282243483 6.90773100735 3.30414869836 19.3180027578 
5 29.7579927428 9.50137797025 8.32784445783 5.99973359741 7.9991310422 5.52511860652 7.06806109305 5.75348397842 8.72882422099 6.63705724994 3.15540824777 17.7811079159 
6 28.7632186993 9.26431589484 7.98362393752 5.72268680361 7.37170792608 5.17821043591 6.931808216 5.49582669917 8.02646823018 6.38811770711 3.05227765058 16.5124474894 
7 27.3164592289 9.02677644321 7.73018611703 5.58803315315 7.07432892926 4.99076168849 6.71572052131 5.24717657358 7.56514689991 6.16790321365 2.90675027737 15.6315101574 
8 26.4242085893 8.78539318337 7.51841250884 5.39702339903 6.79173217441 4.78326144207 6.54359533502 5.05398289549 7.24489767008 6.00340252298 2.79143833519 15.1052730467 
9 25.5183114838 8.60181273209 7.38804655029 5.19073390337 6.49092692892 4.65054210055 6.44101059896 4.89930611455 7.03456502751 5.79702849064 2.70598260128 14.5943725389 
10 24.993605713 8.40611968078 7.20080404793 5.04992365123 6.27530920916 4.50962608114 6.3346022353 4.79354402136 6.824272037 5.66470207249 2.59913459756 14.1330467909 
