x_axis k1_alu_fte k1_alu_ste k1_lu90_fte k1_lu90_ste k1_mlu_fte k1_mlu_ste k1_stretch_fte k1_stretch_ste k4_alu_fte k4_alu_ste k4_lu90_fte k4_lu90_ste k4_mlu_fte k4_mlu_ste k4_stretch_fte k4_stretch_ste 
0 0.275117 0.227658 0.520092 0.523184 0.574231 0.594653 5.443131 5.46357 0.275117 0.229513 0.520092 0.531383 0.574231 0.588866 5.443131 5.484201 
1 0.277341 0.229324 0.532971 0.530259 0.587557 0.61216 5.457438 5.483421 0.277274 0.232818 0.532971 0.546065 0.587557 0.60365 5.457438 5.516811 
2 0.278084 0.229975 0.536312 0.535288 0.592992 0.62018 5.461779 5.490957 0.278084 0.233623 0.536312 0.549986 0.592992 0.607823 5.462175 5.528106 
3 0.278794 0.230901 0.538948 0.536644 0.597437 0.625639 5.464596 5.49777 0.278794 0.234794 0.539314 0.552994 0.597437 0.611858 5.464893 5.538057 
4 0.279182 0.231355 0.540837 0.538618 0.599016 0.628812 5.466588 5.502795 0.279207 0.235132 0.54094 0.555746 0.599016 0.61531 5.46723 5.545512 
5 0.279737 0.231826 0.542225 0.540042 0.601807 0.632316 5.469414 5.507271 0.279731 0.235507 0.542362 0.557249 0.601807 0.618069 5.470035 5.550138 
6 0.280087 0.232202 0.543519 0.540968 0.603123 0.636295 5.472534 5.509605 0.280043 0.235919 0.543677 0.5592 0.603123 0.619725 5.473257 5.554968 
7 0.280488 0.232512 0.545051 0.541695 0.604628 0.64008 5.475624 5.512236 0.280488 0.236206 0.54509 0.561064 0.604628 0.62172 5.475795 5.55807 
8 0.280677 0.23284 0.545982 0.542606 0.605613 0.642961 5.477097 5.514162 0.280691 0.236487 0.545982 0.562881 0.605613 0.623304 5.4777 5.560065 
9 0.280859 0.233084 0.547032 0.543501 0.607138 0.646 5.478546 5.51658 0.280859 0.236763 0.547032 0.563946 0.607138 0.624582 5.479572 5.562318 
10 0.281165 0.233331 0.548839 0.544409 0.607724 0.648943 5.48043 5.520633 0.281165 0.237112 0.549006 0.565993 0.607918 0.62541 5.480643 5.566203 
11 0.281365 0.233592 0.550003 0.545289 0.609335 0.651594 5.481732 5.52276 0.281365 0.237444 0.549931 0.567946 0.609339 0.626788 5.481834 5.569188 
12 0.281553 0.233774 0.551485 0.545877 0.610507 0.653049 5.483454 5.524761 0.281544 0.237755 0.551485 0.568905 0.611228 0.628215 5.483454 5.570316 
13 0.281785 0.23395 0.552192 0.546549 0.61195 0.654674 5.485233 5.527686 0.281783 0.238017 0.552058 0.570187 0.612301 0.629285 5.484945 5.572191 
14 0.282 0.23419 0.553624 0.547072 0.613199 0.657057 5.487003 5.532012 0.282 0.238366 0.553624 0.571601 0.613227 0.630395 5.487018 5.573931 
15 0.282188 0.234271 0.554612 0.547602 0.614385 0.659438 5.488092 5.533815 0.28219 0.238515 0.554612 0.572659 0.614385 0.631579 5.488128 5.575023 
16 0.282365 0.234545 0.555266 0.547968 0.615382 0.662256 5.489091 5.535777 0.282365 0.238782 0.555503 0.573482 0.615382 0.632691 5.489589 5.577108 
17 0.28249 0.234656 0.556199 0.548617 0.616557 0.663945 5.490123 5.536992 0.282477 0.239016 0.556199 0.574504 0.616557 0.633957 5.490807 5.577882 
18 0.282662 0.234839 0.557321 0.549127 0.617717 0.665934 5.491665 5.5386 0.28266 0.239257 0.557344 0.575238 0.617829 0.63491 5.491839 5.579832 
19 0.282885 0.234966 0.557979 0.549857 0.61883 0.666794 5.492736 5.540091 0.282847 0.239514 0.558083 0.576128 0.618998 0.635998 5.493057 5.581425 
20 0.283043 0.235038 0.559223 0.550332 0.619698 0.668772 5.493771 5.542572 0.283 0.23976 0.559244 0.577178 0.619774 0.637556 5.493951 5.583438 
21 0.283189 0.235143 0.560024 0.550701 0.621075 0.669742 5.495232 5.544264 0.283186 0.24 0.560148 0.577908 0.621401 0.638252 5.495232 5.584647 
22 0.283379 0.235277 0.561085 0.551342 0.622389 0.671265 5.49615 5.546292 0.283379 0.240171 0.561359 0.5787 0.622426 0.639535 5.496135 5.58657 
23 0.283608 0.235393 0.562225 0.551985 0.6233 0.672814 5.497443 5.548077 0.283661 0.240296 0.562225 0.579603 0.623287 0.640184 5.497119 5.587578 
24 0.283729 0.235483 0.562615 0.552435 0.624217 0.673917 5.499078 5.549667 0.283738 0.24056 0.562601 0.580172 0.624199 0.641355 5.498712 5.5887 
25 0.28387 0.235588 0.563382 0.552649 0.625252 0.674807 5.500563 5.551383 0.283904 0.240844 0.563285 0.580804 0.625061 0.641942 5.500464 5.590476 
26 0.283995 0.235725 0.56411 0.553126 0.626063 0.676319 5.501415 5.553093 0.283995 0.241012 0.564033 0.58168 0.62604 0.642645 5.501304 5.591706 
27 0.284119 0.235913 0.564896 0.553605 0.626731 0.67726 5.502564 5.554032 0.284132 0.241161 0.56483 0.582451 0.626727 0.643244 5.502462 5.592984 
28 0.28437 0.236052 0.565757 0.554341 0.62774 0.678546 5.503527 5.556171 0.284375 0.241283 0.565497 0.583322 0.62774 0.643939 5.503527 5.593815 
29 0.284544 0.236152 0.56618 0.554798 0.628781 0.679871 5.504271 5.557848 0.284545 0.241429 0.56614 0.58401 0.628781 0.64506 5.504163 5.594664 
30 0.284713 0.236245 0.56681 0.555479 0.629868 0.681296 5.505537 5.559618 0.284713 0.241622 0.566669 0.584761 0.630017 0.645957 5.505423 5.596557 
