x_axis k1_alu_fte k1_alu_ste k1_lu90_fte k1_lu90_ste k1_mlu_fte k1_mlu_ste k1_stretch_fte k1_stretch_ste k4_alu_fte k4_alu_ste k4_lu90_fte k4_lu90_ste k4_mlu_fte k4_mlu_ste k4_stretch_fte k4_stretch_ste 
0 0.260419 0.267157 0.453965 0.465796 0.467714 0.470329 5.430432 5.943399 0.260419 0.270267 0.453965 0.470329 0.467714 0.465796 5.430432 5.651649 
1 0.261626 0.268039 0.464531 0.472114 0.474725 0.477082 5.456091 5.975052 0.261626 0.271426 0.464531 0.477082 0.474725 0.472114 5.456091 5.772324 
2 0.262336 0.268676 0.468192 0.472898 0.47591 0.47792 5.465841 5.999043 0.262336 0.272165 0.468134 0.47792 0.47591 0.472898 5.465841 5.780802 
3 0.262717 0.269181 0.470996 0.47496 0.477146 0.480124 5.473161 6.016473 0.262717 0.272385 0.47097 0.480124 0.477146 0.47496 5.472885 5.786622 
4 0.263041 0.269505 0.472732 0.476299 0.478231 0.481556 5.478411 6.025221 0.263048 0.272753 0.472732 0.481556 0.478231 0.476299 5.477964 5.790705 
5 0.263347 0.269726 0.473491 0.476844 0.478681 0.482139 5.485956 6.035457 0.263358 0.273092 0.473491 0.482139 0.478681 0.476844 5.485698 5.792616 
6 0.263499 0.270233 0.474115 0.4778 0.479341 0.48316 5.489019 6.039519 0.26351 0.27337 0.474115 0.48316 0.479341 0.4778 5.488896 5.796075 
7 0.263654 0.270439 0.475054 0.478502 0.480046 0.48391 5.498499 6.053658 0.263654 0.273758 0.475054 0.48391 0.480046 0.478502 5.498112 5.7993 
8 0.263854 0.270637 0.476003 0.47891 0.480557 0.484347 5.504118 6.056106 0.263861 0.27436 0.476003 0.484347 0.480557 0.47891 5.503914 5.800392 
9 0.264051 0.270853 0.476588 0.479327 0.480877 0.484792 5.508525 6.060963 0.26406 0.274771 0.476588 0.484792 0.480877 0.479327 5.508207 5.803953 
10 0.264249 0.27133 0.477507 0.479713 0.481397 0.485205 5.514 6.066078 0.264258 0.274887 0.477507 0.485205 0.481397 0.479713 5.513181 5.806269 
11 0.26435 0.271502 0.478097 0.480071 0.48158 0.485587 5.519397 6.071403 0.264349 0.275018 0.478097 0.485587 0.48158 0.480071 5.518671 5.809665 
12 0.264487 0.271685 0.478558 0.480523 0.482309 0.486071 5.523288 6.078759 0.264483 0.275153 0.478558 0.486071 0.482309 0.480523 5.522979 5.813316 
13 0.264624 0.271876 0.47884 0.480718 0.482623 0.486279 5.526825 6.086841 0.264624 0.275365 0.47884 0.486279 0.482623 0.480718 5.526561 5.816862 
14 0.264732 0.272057 0.479362 0.480916 0.483187 0.48649 5.532117 6.092244 0.264732 0.275528 0.479362 0.48649 0.483187 0.480916 5.531901 5.819853 
15 0.264839 0.272266 0.479869 0.481301 0.484059 0.486902 5.534889 6.104526 0.264839 0.275749 0.479869 0.486902 0.484059 0.481301 5.534652 5.823612 
16 0.264968 0.27241 0.480485 0.481731 0.484531 0.487361 5.538798 6.112275 0.264968 0.276176 0.480485 0.487361 0.484531 0.481731 5.538798 5.829519 
17 0.265033 0.272621 0.480787 0.482079 0.484807 0.487734 5.54127 6.122232 0.265033 0.276713 0.480787 0.487734 0.484807 0.482079 5.54127 5.837013 
18 0.265144 0.272732 0.481302 0.483029 0.485439 0.488749 5.544351 6.127386 0.265164 0.276846 0.481302 0.488749 0.485439 0.483029 5.544351 5.840838 
19 0.26531 0.272838 0.481541 0.483778 0.486035 0.48955 5.547111 6.134415 0.265331 0.276972 0.481541 0.48955 0.486035 0.483778 5.546763 5.846718 
20 0.265436 0.27293 0.481926 0.484598 0.486355 0.490427 5.548503 6.141615 0.265436 0.277029 0.481926 0.490427 0.486355 0.484598 5.54826 5.850456 
21 0.265528 0.273051 0.482204 0.485291 0.486911 0.491167 5.551737 6.150417 0.265534 0.277126 0.482204 0.491167 0.486911 0.485291 5.551581 5.856336 
22 0.265612 0.273177 0.482589 0.485725 0.487383 0.491631 5.553699 6.159612 0.265642 0.277235 0.482606 0.491631 0.487383 0.485725 5.553555 5.861403 
23 0.265749 0.273367 0.483096 0.486066 0.487999 0.491995 5.555409 6.181527 0.265784 0.277352 0.483124 0.491995 0.487999 0.486066 5.555325 5.869389 
24 0.265903 0.273506 0.483452 0.486395 0.488281 0.492347 5.557755 6.187938 0.265925 0.277483 0.483458 0.492347 0.488279 0.486395 5.557677 5.873769 
25 0.265995 0.273611 0.484051 0.486807 0.48854 0.492787 5.559933 6.197847 0.266007 0.277605 0.484059 0.492787 0.488538 0.486807 5.559891 5.876937 
26 0.266111 0.273694 0.484397 0.487037 0.489062 0.493033 5.562804 6.209511 0.266117 0.277704 0.484428 0.493033 0.489014 0.487037 5.562495 5.883456 
27 0.266214 0.273848 0.484743 0.487509 0.489585 0.493537 5.565576 6.218751 0.26623 0.277899 0.484771 0.493537 0.489585 0.487509 5.565228 5.888307 
28 0.266285 0.273994 0.485289 0.488014 0.490017 0.494077 5.569167 6.224784 0.266285 0.278094 0.485309 0.494077 0.490017 0.488014 5.569011 5.894262 
29 0.266375 0.274119 0.485834 0.488277 0.490442 0.494358 5.570445 6.235407 0.266375 0.278257 0.485862 0.494358 0.490442 0.488277 5.570403 5.898489 
30 0.2665 0.274342 0.486237 0.489014 0.490731 0.495146 5.571966 6.246384 0.266488 0.278353 0.486299 0.495146 0.490731 0.489014 5.571966 5.902713 
31 0.26664 0.274556 0.486482 0.489454 0.490996 0.495617 5.574324 6.255771 0.266626 0.278424 0.486556 0.495617 0.490996 0.489454 5.574357 5.905785 
32 0.26675 0.27473 0.486978 0.490054 0.491398 0.496258 5.577357 6.267081 0.266743 0.278471 0.487106 0.496258 0.491398 0.490054 5.577357 5.90937 
33 0.26692 0.274868 0.487396 0.49059 0.491682 0.496831 5.579046 6.277596 0.266913 0.27854 0.487621 0.496831 0.491682 0.49059 5.579046 5.912052 
34 0.26704 0.274965 0.487899 0.490923 0.49191 0.497187 5.580267 6.284394 0.267028 0.278741 0.488014 0.497187 0.49191 0.490923 5.580267 5.91759 
35 0.267108 0.27506 0.488388 0.49135 0.492664 0.497769 5.582958 6.290961 0.267103 0.278866 0.488437 0.497769 0.492649 0.49135 5.582958 5.921613 
36 0.267202 0.275205 0.488583 0.491726 0.49317 0.498168 5.584893 6.297117 0.267197 0.278927 0.488638 0.498168 0.493166 0.491726 5.584893 5.925309 
37 0.267349 0.275282 0.489006 0.49227 0.493365 0.49892 5.586813 6.314346 0.267343 0.27898 0.489063 0.49892 0.493357 0.49227 5.586813 5.928948 
38 0.267478 0.275382 0.489541 0.492578 0.493624 0.499371 5.588727 6.321432 0.267477 0.279034 0.489562 0.499371 0.493624 0.492578 5.588862 5.932095 
39 0.267664 0.275481 0.489981 0.492967 0.493812 0.49969 5.590254 6.330696 0.267643 0.279128 0.489983 0.49969 0.493812 0.492967 5.590512 5.935665 
40 0.267745 0.275619 0.490221 0.493255 0.494034 0.500129 5.592195 6.338016 0.267736 0.279281 0.490351 0.500129 0.494034 0.493255 5.592507 5.940276 
41 0.267983 0.275731 0.490597 0.493649 0.494479 0.500416 5.594781 6.35022 0.267961 0.279357 0.490613 0.500416 0.494479 0.493649 5.594928 5.94381 
42 0.268153 0.275923 0.490923 0.493905 0.495132 0.501278 5.596683 6.363297 0.268127 0.279494 0.49094 0.501278 0.495132 0.493905 5.596749 5.946051 
43 0.268243 0.275993 0.491096 0.494124 0.495404 0.501993 5.598747 6.37518 0.26824 0.279688 0.491107 0.501993 0.495404 0.494124 5.598954 5.947587 
44 0.268423 0.276087 0.491565 0.49517 0.495632 0.502705 5.602227 6.383046 0.2684 0.279841 0.491566 0.502705 0.495632 0.49517 5.602233 5.949591 
45 0.268566 0.276194 0.491807 0.49559 0.495881 0.503525 5.604147 6.390852 0.268547 0.279964 0.491828 0.503525 0.495881 0.49559 5.604147 5.952687 
46 0.268681 0.276285 0.492358 0.495937 0.496274 0.504715 5.606871 6.401097 0.268675 0.280104 0.492358 0.504715 0.496274 0.495937 5.606871 5.956029 
47 0.268828 0.276376 0.492918 0.49676 0.496686 0.505582 5.608677 6.40632 0.268819 0.280203 0.492918 0.505582 0.496686 0.49676 5.608677 5.959761 
48 0.269007 0.276559 0.493265 0.497441 0.497241 0.506101 5.611737 6.411156 0.268987 0.280302 0.493265 0.506101 0.497241 0.497441 5.611737 5.962908 
49 0.269123 0.276724 0.493432 0.498088 0.497716 0.507251 5.612985 6.413523 0.269109 0.280515 0.493432 0.507251 0.497716 0.498088 5.612985 5.967603 
50 0.269374 0.276866 0.493657 0.498944 0.497939 0.507608 5.61588 6.416427 0.269372 0.280641 0.493657 0.507608 0.497939 0.498944 5.61588 5.972775 
51 0.269532 0.277085 0.493939 0.500322 0.498128 0.507879 5.619498 6.423834 0.269517 0.280918 0.493939 0.507879 0.498128 0.500322 5.619438 5.975523 
52 0.269701 0.277428 0.49427 0.50078 0.49867 0.508539 5.623206 6.427206 0.269701 0.281032 0.494109 0.508539 0.49867 0.50078 5.623161 5.979402 
53 0.269963 0.277755 0.494861 0.501234 0.499312 0.509121 5.624946 6.431616 0.269963 0.281114 0.494798 0.509121 0.499312 0.501234 5.624904 5.982477 
54 0.270164 0.278016 0.49526 0.501674 0.500178 0.50995 5.628762 6.43434 0.270164 0.28117 0.495245 0.50995 0.500178 0.501674 5.628762 5.985663 
55 0.27071 0.27821 0.495533 0.502063 0.500456 0.511076 5.635077 6.438552 0.27071 0.281364 0.495532 0.511076 0.500456 0.502063 5.635077 5.988105 
56 0.271086 0.278546 0.495861 0.50273 0.500686 0.511683 5.6391 6.444678 0.271086 0.281453 0.495861 0.511683 0.500686 0.50273 5.6391 5.991516 
57 0.27144 0.278896 0.496239 0.503178 0.501436 0.513132 5.64129 6.448176 0.27144 0.281534 0.496239 0.513132 0.501436 0.503178 5.64129 5.994858 
58 0.271889 0.27906 0.496634 0.503762 0.501806 0.5145 5.644779 6.454923 0.271889 0.281656 0.496634 0.5145 0.501806 0.503762 5.644779 5.999124 
59 0.272256 0.279572 0.496772 0.504564 0.502319 0.516403 5.650899 6.458868 0.272256 0.281766 0.496772 0.516403 0.502319 0.504564 5.650899 6.003093 
