x_axis k1_alu_fte k1_alu_ste k1_lu90_fte k1_lu90_ste k1_mlu_fte k1_mlu_ste k1_stretch_fte k1_stretch_ste k4_alu_fte k4_alu_ste k4_lu90_fte k4_lu90_ste k4_mlu_fte k4_mlu_ste k4_stretch_fte k4_stretch_ste 
0 0.260596 0.267491 0.45875 0.465869 0.467949 0.470407 5.478273 5.944026 0.260596 0.270757 0.45875 0.470407 0.467949 0.465869 5.478273 5.708586 
1 0.261876 0.267867 0.467949 0.47207 0.472852 0.477035 5.48631 5.989146 0.261876 0.271138 0.467949 0.477035 0.472852 0.47207 5.48631 5.771763 
2 0.262778 0.268512 0.472852 0.4729 0.474951 0.477923 5.500659 5.997915 0.262778 0.272184 0.472852 0.477923 0.474951 0.4729 5.500659 5.786868 
3 0.263125 0.269141 0.474902 0.474951 0.47666 0.480115 5.504007 6.015009 0.263125 0.27241 0.474902 0.480115 0.47666 0.474951 5.504007 5.788101 
4 0.263435 0.269456 0.475867 0.476514 0.478467 0.481785 5.510145 6.034431 0.263435 0.272484 0.475867 0.481785 0.478467 0.476514 5.510145 5.791377 
5 0.264026 0.269795 0.47666 0.477246 0.479395 0.482568 5.51592 6.050151 0.264026 0.273027 0.47666 0.482568 0.479395 0.477246 5.51592 5.792721 
6 0.264336 0.270306 0.477327 0.47832 0.479917 0.483716 5.526543 6.054225 0.264336 0.27351 0.477327 0.483716 0.479917 0.47832 5.526543 5.794497 
7 0.264397 0.270534 0.47832 0.478711 0.480371 0.484134 5.535987 6.055005 0.264397 0.273778 0.47832 0.484134 0.480371 0.478711 5.535987 5.800794 
8 0.264491 0.270829 0.478717 0.479102 0.480505 0.484551 5.539407 6.06189 0.264491 0.274167 0.478717 0.484551 0.480505 0.479102 5.539407 5.80353 
9 0.26461 0.27097 0.478884 0.479346 0.480615 0.484812 5.540751 6.063819 0.26461 0.274754 0.478884 0.484812 0.480615 0.479346 5.540751 5.803968 
10 0.264685 0.271159 0.479402 0.479736 0.481006 0.48523 5.543148 6.066741 0.264685 0.274922 0.479402 0.48523 0.481006 0.479736 5.543148 5.8071 
11 0.264885 0.271634 0.479917 0.480322 0.481738 0.485856 5.550927 6.076383 0.264885 0.275173 0.479917 0.485856 0.481738 0.480322 5.550927 5.808168 
12 0.264989 0.271825 0.48 0.480615 0.482422 0.486169 5.556036 6.081135 0.264989 0.27525 0.48 0.486169 0.482422 0.480615 5.556036 5.812896 
13 0.265109 0.272053 0.480419 0.480762 0.482959 0.486326 5.556978 6.098529 0.265109 0.275308 0.480419 0.486326 0.482959 0.480762 5.556978 5.817222 
14 0.265165 0.272181 0.480528 0.481055 0.484082 0.486639 5.559381 6.103767 0.265165 0.27544 0.480528 0.486639 0.484082 0.481055 5.559381 5.821872 
15 0.265332 0.272327 0.480957 0.481445 0.484561 0.487056 5.560935 6.10695 0.265332 0.275626 0.480957 0.487056 0.484561 0.481445 5.560935 5.825793 
16 0.265553 0.272484 0.48125 0.481787 0.484766 0.487422 5.56455 6.112356 0.265553 0.276232 0.48125 0.487422 0.484766 0.481787 5.56455 5.830227 
17 0.265726 0.272587 0.481738 0.482031 0.485156 0.487683 5.566407 6.113208 0.265726 0.276459 0.481738 0.487683 0.485156 0.482031 5.566407 5.831793 
18 0.265814 0.272747 0.482197 0.483105 0.485913 0.488831 5.567337 6.126018 0.265814 0.276846 0.482197 0.488831 0.485913 0.483105 5.567337 5.838198 
19 0.265967 0.272806 0.482497 0.483838 0.486279 0.489614 5.568261 6.128625 0.265967 0.276923 0.482497 0.489614 0.486279 0.483838 5.568261 5.846349 
20 0.266104 0.272936 0.483105 0.484668 0.487174 0.490501 5.571315 6.131769 0.266104 0.276996 0.483105 0.490501 0.487174 0.484668 5.571315 5.85075 
21 0.266186 0.273166 0.484521 0.485547 0.488184 0.49144 5.572713 6.145503 0.266186 0.277197 0.484521 0.49144 0.488184 0.485547 5.572713 5.857359 
22 0.266539 0.273363 0.484661 0.485889 0.488421 0.491806 5.573718 6.162804 0.266539 0.277355 0.484661 0.491806 0.488421 0.485889 5.573718 5.868654 
23 0.266607 0.273551 0.484971 0.486084 0.489004 0.492015 5.578128 6.171591 0.266607 0.277423 0.484971 0.492015 0.489004 0.486084 5.578128 5.86974 
24 0.266709 0.27359 0.48543 0.486572 0.489467 0.492537 5.578644 6.182682 0.266709 0.277502 0.48543 0.492537 0.489467 0.486572 5.578644 5.874825 
25 0.266797 0.273702 0.485938 0.486914 0.48999 0.492902 5.580405 6.194919 0.266797 0.277732 0.485938 0.492902 0.48999 0.486914 5.580405 5.880168 
26 0.26683 0.273781 0.486137 0.487061 0.490487 0.493058 5.581278 6.203988 0.26683 0.277871 0.486137 0.493058 0.490487 0.487061 5.581278 5.881518 
27 0.266985 0.273988 0.486647 0.4875 0.491016 0.493528 5.584635 6.214836 0.266985 0.277942 0.486647 0.493528 0.491016 0.4875 5.584635 5.885598 
28 0.267119 0.274159 0.487174 0.488086 0.491357 0.494154 5.58732 6.22434 0.267119 0.278125 0.487174 0.494154 0.491357 0.488086 5.58732 5.888442 
29 0.267444 0.274303 0.488323 0.48833 0.49165 0.494415 5.589177 6.230154 0.267444 0.278307 0.488323 0.494415 0.49165 0.48833 5.589177 5.893407 
30 0.267636 0.274497 0.488558 0.489062 0.492383 0.495198 5.589816 6.24678 0.267636 0.278357 0.488558 0.495198 0.492383 0.489062 5.589816 5.895846 
31 0.267675 0.274601 0.489453 0.489697 0.493149 0.495877 5.593929 6.256425 0.267675 0.278422 0.489453 0.495877 0.493149 0.489697 5.593929 5.897202 
32 0.267915 0.274688 0.48999 0.490039 0.493408 0.496242 5.596068 6.270165 0.267915 0.278485 0.48999 0.496242 0.493408 0.490039 5.596068 5.89875 
33 0.268013 0.274853 0.490114 0.490723 0.493848 0.496973 5.598435 6.281808 0.268013 0.278568 0.490114 0.496973 0.493848 0.490723 5.598435 5.91069 
