nclusters fabric0 fabric1 fabric2 fabric3 fabric4 fabric5 fabric6 fabric7 fabric8 fabric9 fabric10 fabric11 
1 61.0564854188 9.62380337879 39.0249578749 7.84700458726 27.3620900389 5.87605149145 8.7271691119 5.51530811559 14.3156577449 11.4219760273 5.79483448018 39.4509739052 
2 42.6561569445 8.46438050198 30.531094848 6.60310588788 19.4248677922 5.21269751984 7.74234561486 4.8379190292 10.5164331796 9.222083359 4.94302903784 31.4054388199 
3 36.7087344705 7.59937433614 28.7371448903 6.06179506917 13.1009908042 4.69464610058 6.84534577948 4.17678462099 8.94210299511 8.10840586621 4.48927801456 28.2406175235 
4 33.3821733536 7.16159955784 27.6671653082 5.53920758161 11.5447586925 4.39701521788 6.48487495719 3.9052872701 8.05523161063 7.4229604982 4.23597606099 25.624345777 
5 30.8287696912 6.84802492841 26.8582070022 5.26808639646 10.7218796474 4.28210214098 6.23082043876 3.70863986351 7.46669367743 7.13718135006 4.02134889805 23.1478776539 
6 29.7317708466 6.62040237598 26.1693888028 4.81020942714 10.0300992412 4.08002587349 6.0117498229 3.60634253272 6.94522430094 6.77144551769 3.79086891169 21.3098527768 
7 28.104253103 6.40884793565 25.4582706428 4.6210742372 9.4138027096 3.95729014027 5.85876456078 3.47053851003 6.53504639172 6.44688640631 3.54521874355 19.6668179397 
8 26.8449437715 6.22450295341 24.8302628001 4.40487556737 8.97808302504 3.85625557164 5.73760512777 3.3521222394 6.19143094041 6.26166119759 3.3316721604 18.8027857126 
9 25.8906406856 6.09551258759 24.1935588064 4.31097041138 8.55134140343 3.74184687308 5.61074551309 3.2544606026 5.95027453616 6.07882876879 3.20242948308 18.1246000286 
10 25.1538256346 5.97815040506 23.9023696933 4.16341798385 8.23475172513 3.62160891856 5.47576899422 3.19522889229 5.6926834517 5.92092068718 3.10578084563 17.5700597363 
