nclusters fabric0 fabric1 fabric2 fabric3 fabric4 fabric5 fabric6 fabric7 fabric8 fabric9 fabric10 fabric11 
1 31.7292556505 19.2881140622 14.321855068 19.7579702965 20.8533327965 7.61089274813 12.3895806106 10.1573685628 12.9264136344 11.9048995716 7.6842835836 32.904712709 
2 25.3818073399 15.5894739823 10.9747408646 15.3082802448 15.5683987951 6.52593088297 9.81461128046 8.7761681658 10.0518394269 9.51924184525 6.32051562811 23.2095798765 
3 22.6771377448 14.2373464893 9.739674485 10.8886759757 13.7152638411 5.81459728754 8.86210194955 7.95710451697 8.45381526243 8.14295973032 5.53123332255 20.5005802537 
4 21.205743085 13.2655852051 9.12891293886 8.99945191983 12.7645850155 5.49275680216 8.39082377351 7.19954964023 7.75265588311 7.55698603858 5.04951713027 19.0636635431 
5 20.198883841 12.7485070902 8.62169966791 8.47009842507 11.8556893122 5.175376765 7.93386864941 6.76488925992 7.31484484253 7.04127248631 4.67904592972 17.8595778283 
6 19.4151437623 12.2321292885 8.3911972188 7.38851250847 11.3393502194 4.98708281723 7.70204072822 6.52137735995 7.0674112564 6.66882707041 4.42936730278 16.7904264792 
7 18.8058862198 11.9229830233 8.06754989697 6.8778927065 10.9669959917 4.81285060511 7.50310169727 6.29594144954 6.86551467148 6.32535204561 4.21885751374 16.226377563 
8 18.2201694667 11.6369764024 7.87050724267 6.43239051895 10.5684921366 4.69937035556 7.29282964528 6.10576963776 6.71822801848 6.07194656299 3.99344793535 15.5945040598 
9 17.7765802316 11.3804418101 7.63035268868 6.08258125849 10.3065016559 4.55671622751 7.16629041576 5.95983508378 6.53524250636 5.88132324782 3.84963034041 15.1551965275 
10 17.3319251402 11.1585699879 7.47280792008 5.69575676412 10.064345559 4.44600830088 7.03674624584 5.89533722441 6.37664422895 5.69004097263 3.67491874056 14.6042981284 
