k1_bin k1_cdf k2_bin k2_cdf k3_bin k3_cdf k4_bin k4_cdf k5_bin k5_cdf ptoe_ave_bin ptoe_ave_cdf ptoe_max_bin ptoe_max_cdf 
0.000117315814172 0.8350278077294411 0.000117315814172 0.8922778759069371 0.000117315814172 0.8981910515512672 0.000117315814172 0.9214423761674351 0.000117315814172 0.9303611992743543 0.8246638166968621 0.000117315814172 0.8454573904740471 0.000469263256687 
0.000234631628344 0.8391834741740163 0.000234631628344 0.8979197380717812 0.000234631628344 0.9035197532048936 0.000234631628344 0.9230187208197569 0.000234631628344 0.9339996777294254 0.8337595947706178 0.000234631628344 0.8528467412840003 0.00187705302675 
0.000351947442515 0.8433391406185915 0.000351947442515 0.9035616002366252 0.000351947442515 0.90884845485852 0.000351947442515 0.925950654720787 0.000351947442515 0.9376381561844965 0.8428553728443736 0.000351947442515 0.8602360920939535 0.00434068512435 
0.000469263256687 0.8524948070631667 0.000469263256687 0.9092034624014693 0.000469263256687 0.9141771565121464 0.000469263256687 0.9281714101244005 0.000586579070859 0.9412766346395676 0.8519511509181293 0.000469263256687 0.8676254429039066 0.00903331769122 
0.000821210699202 0.8616504735077419 0.000586579070859 0.9148453245663133 0.000586579070859 0.9195058581657728 0.000586579070859 0.9307477547767224 0.00105584232755 0.9449151130946387 0.8610469289918852 0.000586579070859 0.8750147937138598 0.0208822149226 
0.00140778977006 0.8708061399523171 0.000703894885031 0.9204871867311574 0.000703894885031 0.9248345598193991 0.000703894885031 0.9353240994290443 0.00152510558423 0.9485535915497098 0.8701427070656409 0.0016424213984 0.882404144523813 0.03824495542 
0.00187705302675 0.8799618063968924 0.00129047395589 0.9261290488960014 0.00105584232755 0.9301632614730255 0.00105584232755 0.9399004440813661 0.00246363209761 0.9521920700047809 0.8792384851393966 0.00258094791178 0.8897934953337662 0.065579540122 
0.00281557954012 0.8891174728414676 0.00222900046926 0.9317709110608455 0.0016424213984 0.9354919631266518 0.00258094791178 0.9444767887336879 0.0053965274519 0.9558305484598519 0.8883342632131525 0.00293289535429 0.8971828461437193 0.104293758799 
0.00387142186767 0.8982731392860428 0.00387142186767 0.9374127732256896 0.00351947442515 0.9408206647802783 0.00422336931018 0.9490531333860097 0.00692163303613 0.9594690269149231 0.8974300412869082 0.00633505396527 0.9045721969536725 0.160839981229 
0.00715626466448 0.907428805730618 0.00727358047865 0.9430546353905337 0.0053965274519 0.9461493664339047 0.00656968559362 0.9536294780383315 0.0106757390896 0.9631075053699941 0.906525819360664 0.0103237916471 0.9119615477636258 0.230760206476 
0.0117315814172 0.9165844721751932 0.0125527921164 0.9486964975553777 0.00774284373534 0.951478068087531 0.00891600187705 0.9582058226906535 0.0188878460817 0.9667459838250653 0.9156215974344197 0.0165415297982 0.919350898573579 0.308892538714 
0.0199436884092 0.9257401386197686 0.0192397935242 0.9543383597202217 0.0133740028156 0.9568067697411574 0.0140778977006 0.9627821673429753 0.027334584702 0.9703844622801363 0.9247173755081756 0.0256921633036 0.9267402493835322 0.391365556077 
0.0364852182074 0.9348958050643437 0.0306194274988 0.9599802218850658 0.0234631628344 0.9621354713947838 0.028038479587 0.9673585119952971 0.0427029563585 0.9740229407352075 0.9338131535819313 0.0437587986861 0.9341296001934853 0.484631628344 
0.0626466447677 0.944051471508919 0.0497419052088 0.9656220840499099 0.0400046926326 0.9674641730484101 0.0456358517128 0.9719348566476189 0.0694509619897 0.9776614191902785 0.9429089316556871 0.0795401220084 0.9415189510034385 0.59138901924 
0.112740497419 0.9532071379534942 0.0869310183013 0.971263946214754 0.0699202252464 0.9727928747020366 0.0809479117785 0.9765112012999407 0.111098076021 0.9812998976453496 0.9520047097294428 0.14594087283 0.9489083018133917 0.714101360863 
0.202604411075 0.9623628043980694 0.177264195214 0.9769058083795981 0.139957766307 0.978121576355663 0.149929610511 0.9810875459522626 0.198615673393 0.9849383761004207 0.9611004878031986 0.276748005631 0.9562976526233449 0.843500703895 
0.362623181605 0.9715184708426446 0.381511027687 0.982547670544442 0.301267010793 0.9834502780092893 0.318981698733 0.9856638906045845 0.399929610511 0.9885768545554918 0.9701962658769544 0.50786015955 0.963687003433298 0.946386672924 
0.710581886438 0.9806741372872199 0.746245893947 0.9881895327092861 0.689113092445 0.9887789796629157 0.705185358986 0.9902402352569063 0.790239324261 0.9922153330105629 0.9792920439507101 0.848545283904 0.9710763542432512 0.99213984045 
0.999882684186 0.9898298037317951 0.999882684186 0.9938313948741302 0.999882684186 0.994107681316542 0.999882684186 0.9948165799092281 0.999882684186 0.9958538114656339 0.988387822024466 0.999882684186 0.9784657050532044 0.999882684186 
1.0 0.9989854701763703 1.0 0.9994732570389743 1.0 0.9994363829701685 1.0 0.9993929245615499 1.0 0.999492289920705 0.9974836000982217 1.0 0.9858550558631576 1.0 
