x_axis k1_alu_fte k1_alu_ste k1_lu90_fte k1_lu90_ste k1_mlu_fte k1_mlu_ste k1_stretch_fte k1_stretch_ste k4_alu_fte k4_alu_ste k4_lu90_fte k4_lu90_ste k4_mlu_fte k4_mlu_ste k4_stretch_fte k4_stretch_ste 
36 0.285176 0.236786 0.566519 0.554591 0.629474 0.685121 5.476851 5.555649 0.285176 0.242071 0.566583 0.582799 0.629474 0.649142 5.476833 5.600319 
37 0.285417 0.236921 0.567289 0.555046 0.631058 0.686025 5.477652 5.557479 0.285399 0.242243 0.566941 0.583467 0.630872 0.649551 5.477523 5.601678 
38 0.285598 0.237004 0.568242 0.555819 0.631308 0.687587 5.478366 5.55927 0.285581 0.24236 0.568231 0.58389 0.631288 0.650438 5.478579 5.603469 
39 0.285722 0.23711 0.569033 0.556313 0.632062 0.688248 5.479269 5.56116 0.285722 0.242445 0.568949 0.584733 0.631968 0.650742 5.479293 5.604645 
40 0.285946 0.237212 0.569576 0.556782 0.632857 0.689332 5.4801 5.563401 0.285946 0.24261 0.569545 0.585589 0.632811 0.652316 5.480169 5.605764 
41 0.286051 0.237364 0.570351 0.557324 0.633362 0.690641 5.481039 5.564724 0.28605 0.242782 0.570294 0.586675 0.633216 0.653149 5.481246 5.607231 
42 0.286276 0.237489 0.571036 0.557861 0.634142 0.692874 5.48205 5.56635 0.286187 0.242869 0.570864 0.587232 0.633973 0.653823 5.482101 5.608359 
43 0.286424 0.237576 0.572021 0.558423 0.634604 0.693695 5.48283 5.56893 0.286374 0.242961 0.571605 0.587971 0.634604 0.654545 5.48292 5.610003 
44 0.286542 0.237672 0.572992 0.559222 0.635207 0.694947 5.483766 5.571339 0.286505 0.243056 0.572794 0.588842 0.635207 0.655643 5.484237 5.610912 
45 0.286686 0.237739 0.573735 0.559727 0.636475 0.696864 5.484807 5.57379 0.286648 0.243117 0.57359 0.589374 0.636573 0.656033 5.484981 5.61255 
46 0.28689 0.237833 0.574645 0.560392 0.637357 0.698491 5.485731 5.575878 0.286783 0.243228 0.574427 0.5901 0.637357 0.65718 5.485833 5.6145 
47 0.287029 0.23797 0.57545 0.561009 0.638435 0.699286 5.486328 5.577294 0.287015 0.243354 0.575302 0.590964 0.638435 0.658947 5.486589 5.615739 
48 0.287177 0.238179 0.576349 0.561482 0.638901 0.70174 5.487618 5.579835 0.287153 0.243505 0.576195 0.59151 0.638901 0.659416 5.487825 5.616867 
49 0.287316 0.238289 0.576967 0.561959 0.639572 0.702476 5.488611 5.583339 0.287283 0.24366 0.576928 0.592087 0.639572 0.659817 5.488638 5.618319 
