nclusters fabric0 fabric1 fabric2 fabric3 fabric4 fabric5 fabric6 fabric7 fabric8 fabric9 fabric10 fabric11 
1 71.9031099919 10.2341079251 31.9557729291 9.42138912209 17.3198038046 5.45665643783 15.2891527666 8.38881523567 14.0735523056 11.5086708118 5.0132598574 30.0550921624 
2 49.0505552509 8.26896211445 20.5308624714 6.15260930362 13.7301998228 4.7875904789 9.00402853165 6.10808100472 10.1287633837 9.19248651141 4.21977122236 25.2755571896 
3 41.9944083673 7.70656260674 19.4735792273 5.58310931211 12.3092193492 4.38263033218 7.36606954563 4.89799550443 9.09158421155 8.51853429468 3.71202021058 22.0724260609 
4 39.2986248665 7.3342589477 18.7775688823 5.08808866514 11.022329679 4.06244218952 7.08185800984 4.4162179882 8.63713172986 8.06504300513 3.23804924894 20.5448614282 
5 36.0856613686 6.90467457161 18.1940578458 4.77569443091 10.0066049582 3.86132329246 5.96042114296 4.17861045146 8.15570415362 7.76990722117 3.03930257518 19.070821238 
6 34.0535289822 6.64147282301 17.7172041253 4.53815558319 9.4099575902 3.66511055242 5.7851445087 4.00036830295 7.58519774529 7.54209763734 2.82818136518 17.8890101937 
7 32.6189251728 6.48809877018 17.3443916515 4.31296938191 9.03583969184 3.53450147528 5.72639933375 3.85131686667 7.30449093026 7.32200382017 2.68566399444 16.8625615882 
8 31.2332095606 6.3086877421 16.2632402068 4.07201790334 8.59401446184 3.44880885182 5.55007079086 3.72255542629 7.09627746945 7.15146256599 2.57183489322 16.2711060382 
9 30.4219183816 6.19739733748 15.9990282448 3.86604399639 8.17357225315 3.35040375359 5.43180485736 3.60886067587 6.86115324913 6.95058786285 2.45681120178 15.7652118844 
10 29.5386344711 6.10765817866 15.8513750887 3.76813207729 7.89299178442 3.26514211121 4.87568889945 3.5046203257 6.6600045679 6.76392365853 2.37935441327 15.2496868513 
