nclusters fab0 fab1 fab2 fab3 fab4 fab5 fab6 fab7 fab8 fab9 fab10 fab11 
1 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 
2 0.4701268358625529 0.4800311624667133 0.5696654414675982 0.4720470097952504 0.5233194330154345 0.5370054154709033 0.34079752932772217 0.34029948128220744 0.5123388083777375 0.5751178079009107 0.43069532490004603 0.4131275172903268 
3 0.35409780648889855 0.36596056296726964 0.41038430640309986 0.36966513863730055 0.4803042035139611 0.5768166039761549 0.37913905754935595 0.35605075899300664 0.3938904761963187 0.598461515134348 0.3559796789786014 0.3304299483369306 
4 0.3357078340124031 0.33578362905439585 0.38732876233461255 0.40512824217370824 0.3825980731967392 0.43364132255546006 0.3786632668954497 0.32708644042962465 0.37513151872740924 0.653584835320096 0.3265717089224438 0.3272355673410521 
5 0.33035339746643144 0.3082610866026927 0.38352709875239654 0.41615631350483695 0.38041056525991757 0.38129005522770476 0.35173129607808584 0.2960467712251681 0.36626114878795635 0.6718315583890819 0.31126771976524165 0.29950541765569905 
6 0.3052281078846522 0.3157811479912606 0.38099020869058575 0.37578924665336033 0.3839878273197975 0.3728451994772767 0.3554064759280807 0.3098937556997378 0.36266093389451703 0.6833715883976603 0.2940772650433414 0.28848083060403334 
7 0.2858987955723851 0.2967743916757153 0.38709685770182234 0.3951664826996444 0.38415441126189176 0.34000838972773545 0.30623944747674864 0.3201651457718876 0.3646994826930121 0.6679684720718246 0.28877353272585604 0.287444796129683 
8 0.27478212531492585 0.2963087352815089 0.3869680445780742 0.3934856882085549 0.3902475268922273 0.3351645293312106 0.30391478614749845 0.3260696763635834 0.36537477775017335 0.6325601048117693 0.278484479354345 0.28158790354335844 
9 0.2758017261101987 0.28924959849244164 0.35164343961578015 0.39601798123290266 0.385629034590929 0.3163003899189647 0.300066664201615 0.3082643533857291 0.35347384501387946 0.5939345803899654 0.27972798431615625 0.2743784450593248 
10 0.2706455332442212 0.2795695502263993 0.3539557538246456 0.3983385174769085 0.3702029727300853 0.31012067584411035 0.30716982920186786 0.3210518255802545 0.3419534488780245 0.48532715956323125 0.27770991271320516 0.26982262775442 
