nclusters fabric0 fabric1 fabric2 fabric3 fabric4 fabric5 fabric6 fabric7 fabric8 fabric9 fabric10 fabric11 
1 51.7048807012 18.2543417364 15.8219495345 30.7286706722 16.4055816919 8.45842316298 12.324713439 10.721940062 14.5092471272 9.83524798736 13.0878280776 30.832407938 
2 36.8910304155 14.0327153934 11.3363743825 14.0450635882 12.3644916503 6.947697275 10.1506668471 8.76074683098 10.009695192 8.48373749177 8.44170576247 23.5549923366 
3 30.0785200094 12.8152578132 10.3070738634 11.1004189781 11.3270698975 6.4752314213 9.34362810619 7.66491199253 8.85618218346 7.5703445589 7.27323485061 21.3047803879 
4 28.0882587895 11.8702835632 9.63600990458 9.50764812472 10.4343398059 6.04539606249 8.76596522546 7.1048957861 8.1190133861 6.87707565185 6.57227580645 18.6166456064 
5 26.4944063715 11.4397181234 9.16610641249 8.97240336162 9.80560358627 5.69958998291 8.18990856913 6.70053207963 7.61047091678 6.46061611748 5.90446796581 17.3898882101 
6 25.0878995482 10.9542970178 8.77689617168 8.62851814874 9.3247665045 5.50180365223 7.89951354143 6.25105130803 7.27775776034 6.11197660883 5.17338715113 16.5466444941 
7 24.3905777601 10.5410017198 8.40830806861 8.25006386119 9.09828001936 5.346980653 7.64077929326 6.02517488384 6.91463548621 5.9100001236 4.87458234921 15.8751275466 
8 23.6608804865 10.1775630623 8.04974078185 7.95000115971 8.79829920401 5.21843867202 7.49183618081 5.86067373871 6.64240286371 5.69041717221 4.61722630933 15.3213858108 
9 22.9326226358 9.84293224943 7.83350385655 7.6792528016 8.53968716641 5.12358457202 7.37675745737 5.72515441 6.49572332217 5.57610601218 4.43775528352 14.92215665 
10 22.3168276293 9.61665158473 7.64225414514 7.53046245509 8.32834200226 4.96544360535 7.2280272203 5.53032080591 6.2980008676 5.43632628377 4.18128295311 14.5705498404 
