x ave_toe max_toe robust_toe 
0 0.584107769061 0.670395056977 0.3435966961 
1 0.703552023719 0.715683607731 0.386907816526 
2 0.780725638557 0.771568553755 0.422561338727 
3 0.804934964199 0.801538461538 0.438149712077 
4 0.830735294118 0.933338850702 0.487942594179 
5 0.851373343583 0.934 0.495927173789 
6 0.867446808511 0.942602362205 0.55483078185 
7 0.888570625321 0.974202755906 0.555734005697 
8 0.948034838599 1.02631661757 0.586374903455 
9 1.00651701323 1.05481472904 0.638886500087 
10 1.07629987096 1.07658388855 0.746928801478 
11 1.11345894736 1.07784615385 0.780064783416 
12 1.119962478 1.08005905512 0.78731338955 
13 1.20523617306 1.08158491168 0.823448258643 
14 1.2075 1.08647100931 0.824346611605 
15 1.27668465124 1.1405511811 0.840173848659 
16 1.28162627549 1.25075936531 0.848455572151 
17 1.3512195122 1.2535483871 0.880893522468 
18 1.352 1.25356661832 0.889166297572 
19 1.49245901639 1.2545 0.896071428571 
20 1.5146875 1.25589845075 0.900878488194 
21 1.65315789474 1.26976123952 0.947740182831 
22 1.6695 1.28857142857 0.99105164299 
23 1.73075955669 1.30428571429 1.02866022399 
24 1.74308504682 1.30806391848 1.11513698713 
25 1.77040816327 1.3265957723 1.16855391204 
26 1.77706031882 1.61989400363 1.19429075821 
27 1.85205128205 1.80837068443 1.23481511745 
28 2.03 1.91850751611 1.32586476064 
29 2.28683415493 1.98308773903 1.41628221685 
