lftoe_bin lftoe_cdf hftoe_bin hftoe_cdf static_bin static_cdf
353.60603169997586 0.0 257.33111013667406 0.0 247.5242221899831 0.0 
385.0160255355303 0.00558659217877 295.0550710612598 0.00558659217877 270.088190705105 0.00558659217877 
416.42601937108475 0.0223463687151 332.77903198584556 0.0111731843575 292.65215922022685 0.0167597765363 
447.8360132066392 0.0335195530726 370.5029929104313 0.0167597765363 315.2161277353488 0.0391061452514 
479.24600704219364 0.0893854748603 408.22695383501707 0.0391061452514 337.78009625047065 0.072625698324 
510.65600087774806 0.139664804469 445.9509147596028 0.072625698324 360.3440647655925 0.128491620112 
542.0659947133025 0.240223463687 483.67487568418863 0.128491620112 382.9080332807144 0.245810055866 
573.475988548857 0.340782122905 521.3988366087744 0.223463687151 405.47200179583626 0.329608938547 
604.8859823844114 0.45251396648 559.1227975333602 0.346368715084 428.0359703109582 0.413407821229 
636.295976219966 0.525139664804 596.846758457946 0.469273743017 450.59993882608 0.513966480447 
667.7059700555203 0.620111731844 634.5707193825317 0.586592178771 473.16390734120193 0.59217877095 
699.1159638910747 0.675977653631 672.2946803071175 0.687150837989 495.7278758563238 0.653631284916 
730.5259577266293 0.810055865922 710.0186412317032 0.765363128492 518.2918443714457 0.759776536313 
761.9359515621836 0.888268156425 747.742602156289 0.860335195531 540.8558128865675 0.837988826816 
793.3459453977381 0.944134078212 785.4665630808747 0.938547486034 563.4197814016895 0.927374301676 
824.7559392332926 0.966480446927 823.1905240054605 0.949720670391 585.9837499168113 0.944134078212 
856.1659330688469 0.983240223464 860.9144849300462 0.972067039106 608.5477184319332 0.966480446927 
887.5759269044015 0.988826815642 898.638445854632 0.988826815642 631.1116869470551 0.983240223464 
918.9859207399559 0.994413407821 936.3624067792177 0.994413407821 653.675655462177 0.988826815642 
950.3959145755102 0.994413407821 974.0863677038035 0.994413407821 676.2396239772988 0.994413407821 
