lftoe_bin lftoe_cdf hftoe_bin hftoe_cdf static_bin static_cdf optimal_bin optimal_cdf
449.8251785771472 0.0674157303371 200.92270070108248 0.0 314.8776250040031 0.0337078651685 449.8251785771474 0.0337078651685
476.84364642715803 0.112359550562 240.5518382207062 0.0112359550562 332.3310351486425 0.0561797752809 478.46312726426675 0.112359550562
503.86211427716887 0.168539325843 280.1809757403299 0.0224719101124 349.784445293282 0.134831460674 507.1010759513861 0.168539325843
530.8805821271798 0.202247191011 319.8101132599537 0.0337078651685 367.2378554379214 0.179775280899 535.7390246385055 0.179775280899
557.8990499771905 0.224719101124 359.4392507795774 0.0449438202247 384.6912655825608 0.202247191011 564.3769733256248 0.202247191011
584.9175178272014 0.280898876404 399.06838829920116 0.0561797752809 402.14467572720025 0.224719101124 593.0149220127441 0.280898876404
611.9359856772122 0.370786516854 438.6975258188249 0.0674157303371 419.59808587183966 0.280898876404 621.6528706998635 0.370786516854
638.9544535272231 0.438202247191 478.3266633384486 0.191011235955 437.05149601647906 0.370786516854 650.2908193869828 0.426966292135
665.9729213772339 0.539325842697 517.9558008580723 0.224719101124 454.50490616111847 0.426966292135 678.9287680741022 0.47191011236
692.9913892272448 0.629213483146 557.5849383776961 0.314606741573 471.95831630575793 0.47191011236 707.5667167612215 0.606741573034
720.0098570772557 0.707865168539 597.2140758973198 0.47191011236 489.41172645039734 0.561797752809 736.2046654483408 0.685393258427
747.0283249272665 0.831460674157 636.8432134169435 0.61797752809 506.8651365950368 0.651685393258 764.8426141354603 0.752808988764
774.0467927772772 0.876404494382 676.4723509365673 0.685393258427 524.3185467396762 0.719101123596 793.4805628225795 0.786516853933
801.0652606272881 0.898876404494 716.101488456191 0.797752808989 541.7719568843156 0.775280898876 822.1185115096989 0.831460674157
828.083728477299 0.921348314607 755.7306259758147 0.910112359551 559.225367028955 0.797752808989 850.7564601968182 0.876404494382
855.1021963273098 0.943820224719 795.3597634954384 0.921348314607 576.6787771735944 0.865168539326 879.3944088839376 0.898876404494
882.1206641773206 0.966292134831 834.9889010150622 0.955056179775 594.132187318234 0.910112359551 908.032357571057 0.921348314607
909.1391320273315 0.977528089888 874.618038534686 0.966292134831 611.5855974628732 0.943820224719 936.6703062581762 0.943820224719
936.1575998773424 0.988764044944 914.2471760543096 0.977528089888 629.0390076075128 0.977528089888 965.3082549452956 0.977528089888
963.1760677273531 0.988764044944 953.8763135739334 0.988764044944 646.4924177521522 0.988764044944 993.946203632415 0.988764044944
