nclusters fab0 fab1 fab2 fab3 fab4 fab5 fab6 fab7 fab8 fab9 fab10 fab11 
1 0.4512964114705292 0.3064610907113413 0.42609881907395614 0.4469764096721467 0.3021614042269816 0.3817418596791075 0.47256745327829125 0.49459708896283205 0.38275643303583673 0.3774198728294799 0.2534250661652662 0.4516145704192033 
2 0.4600572610720731 0.3080532576625211 0.44399624336824034 0.47604697943173885 0.3215758821924233 0.40750139562515253 0.4856572319738546 0.499333574447522 0.40395903785221077 0.4122889932544485 0.2889694205210356 0.46103942581649937 
3 0.4614316944832241 0.3105872002862123 0.44744599809276364 0.4828984594773278 0.3357374889181375 0.41625400116511546 0.4889059111600284 0.5048195447614606 0.41866790992955616 0.4360291000020073 0.29860472412768124 0.46488208194670716 
4 0.469577780360339 0.3125785949568415 0.4528242586472343 0.4879742568473507 0.3421683755199857 0.4229602511744216 0.49438784019318077 0.5087159248168883 0.43191089701972907 0.44329345549157856 0.3070642712697712 0.46640720249242074 
5 0.47300512628705266 0.3133776554983835 0.4567001404446708 0.4915343842836224 0.3445054406137809 0.4263834032807253 0.4965715756620125 0.5142665750241406 0.4381051223471798 0.4503937405647049 0.30965201784685153 0.46836616060124037 
6 0.4751020348741465 0.31362558545914804 0.458566091263931 0.49291567786084867 0.35205136346041 0.43441872425578837 0.4991453223067442 0.5144855850895923 0.44201071010779913 0.45504581419702744 0.3133883300206575 0.46826835039035053 
7 0.47755332665636974 0.3138825674311676 0.4586555617215075 0.4966985355654536 0.35321418756126366 0.43493115075375083 0.49551982756838714 0.5163578295637755 0.44341035744571433 0.4602223963270194 0.31782776463628715 0.4695625312170771 
8 0.47875077736604865 0.3140388819441613 0.46113044587019286 0.4992052180776983 0.35511877438008166 0.43626758563054596 0.4969855488872243 0.5171101282236179 0.4475012921512952 0.46048236105400797 0.3150771703270343 0.46994765023624196 
9 0.47927954904536446 0.3138430941468623 0.46122790022802834 0.5014560674511962 0.3587159110696954 0.44015186728788214 0.5018492392021148 0.5203696044780668 0.4500641804568228 0.4656280913912282 0.3143086605532955 0.4700607763276066 
10 0.47807162068661324 0.3138771307523976 0.46223563781790755 0.5053287919046384 0.36071817381475807 0.44218760589871337 0.5025158369844289 0.5220323836553763 0.453428378454959 0.4644613848504062 0.316719725911521 0.47029981034780066 
