nclusters fab0 fab1 fab2 fab3 fab4 fab5 fab6 fab7 fab8 fab9 fab10 fab11 
1 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 
2 1.0649640806268426 0.5770754347146925 0.4217731604077417 0.36944910069330883 0.36643928027736883 0.5797966416890168 0.515639468448676 0.3339973471251134 0.42082677053817763 0.5910288281485802 0.5416896663618602 0.4491576851748367 
3 1.0654642540464543 0.5341974713193698 0.3001125669673708 0.4339008418783278 0.3894704001840852 0.37446111454338626 0.47350547252632613 0.3270410110688003 0.3554008534367705 0.5450286460293059 0.5003706002273717 0.32064897575426393 
4 1.0606664845554756 0.5112590811501408 0.2936141794138296 0.40022054663242457 0.3677650220858074 0.38998155445021354 0.43560401317780373 0.3032733950713123 0.4005663459943891 0.46503182756130645 0.5019308151827441 0.2999124252274577 
5 0.43848030706465013 0.521387807437288 0.2608716319248411 0.422125540628453 0.3704124337639294 0.36436550012116353 0.4056696180341637 0.3116368159221916 0.43603245960284587 0.48173163693231846 0.4555857399481755 0.30887133373659886 
6 0.4385609813899203 0.5164727237566356 0.2544028082065045 0.3869651750266514 0.36016986881456337 0.34615089004697175 0.41803195725142706 0.31495305850244826 0.3930343241678579 0.46765344522156815 0.3818947203349472 0.3063870964086993 
7 0.4340099820605804 0.5185013500380887 0.2584976325652697 0.39927074750260405 0.37507896954051556 0.3492706270379813 0.35820865028158866 0.3189598467044357 0.4116631400332508 0.37206945029845484 0.35533632872175946 0.2889653264854424 
8 0.43941698349632285 0.34512270710700876 0.2714899274859939 0.38924117420823 0.3712681320806124 0.36742863571652806 0.36162387878054436 0.32654840426469117 0.4138539021713641 0.3747001693312608 0.3544878034036897 0.2819865490903346 
9 0.4249809768406031 0.3463098195141684 0.2706608227573367 0.3787991450732756 0.37234216383976615 0.3604221390863692 0.33948723379405044 0.31504539043750535 0.4090995081683314 0.38100634844045833 0.3552702149668263 0.2673603080908041 
10 0.3880335625860213 0.34175872773754845 0.27654464571852655 0.36117863560605157 0.360661673339695 0.35269922780848495 0.3399184450481598 0.3220910104554201 0.42030085859862854 0.3854115217069928 0.35920138994930473 0.25853238779806237 
