lftoe_bin lftoe_cdf hftoe_bin hftoe_cdf static_bin static_cdf optimal_bin optimal_cdf
389.70203045566655 0.0 186.39756521331248 0.0 272.7914213189666 0.0 389.70203045566643 0.0
416.5318239174412 0.0223463687151 225.24617999288137 0.00558659217877 292.68705156129363 0.0223463687151 423.86113814851535 0.0223463687151
443.36161737921583 0.0335195530726 264.0947947724503 0.0111731843575 312.58268180362063 0.0335195530726 458.0202458413642 0.0446927374302
470.1914108409905 0.0670391061453 302.9434095520192 0.0167597765363 332.47831204594763 0.0614525139665 492.17935353421313 0.117318435754
497.0212043027651 0.128491620112 341.7920243315881 0.0223463687151 352.37394228827463 0.139664804469 526.338461227062 0.201117318436
523.8509977645398 0.189944134078 380.640639111157 0.0279329608939 372.26957253060164 0.195530726257 560.4975689199109 0.279329608939
550.6807912263145 0.268156424581 419.4892538907259 0.0391061452514 392.16520277292864 0.268156424581 594.6566766127598 0.368715083799
577.510584688089 0.335195530726 458.3378686702948 0.0670391061453 412.06083301525564 0.340782122905 628.8157843056088 0.463687150838
604.3403781498637 0.40782122905 497.1864834498637 0.184357541899 431.95646325758264 0.40782122905 662.9748919984577 0.581005586592
631.1701716116384 0.491620111732 536.0350982294326 0.290502793296 451.85209349990964 0.491620111732 697.1339996913066 0.664804469274
657.999965073413 0.586592178771 574.8837130090014 0.374301675978 471.74772374223664 0.597765363128 731.2931073841554 0.748603351955
684.8297585351877 0.68156424581 613.7323277885705 0.497206703911 491.64335398456365 0.68156424581 765.4522150770043 0.804469273743
711.6595519969624 0.77094972067 652.5809425681393 0.631284916201 511.53898422689065 0.77094972067 799.6113227698532 0.877094972067
738.4893454587369 0.832402234637 691.4295573477082 0.748603351955 531.4346144692176 0.826815642458 833.770430462702 0.916201117318
765.3191389205116 0.888268156425 730.2781721272772 0.860335195531 551.3302447115447 0.888268156425 867.929538155551 0.960893854749
792.1489323822861 0.927374301676 769.1267869068461 0.927374301676 571.2258749538717 0.938547486034 902.0886458483999 0.983240223464
818.9787258440608 0.95530726257 807.9754016864149 0.972067039106 591.1215051961987 0.966480446927 936.2477535412488 0.988826815642
845.8085193058355 0.977653631285 846.824016465984 0.988826815642 611.0171354385257 0.988826815642 970.4068612340977 0.994413407821
872.6383127676102 0.988826815642 885.6726312455528 0.994413407821 630.9127656808527 0.994413407821 1004.5659689269467 0.994413407821
899.4681062293848 0.994413407821 924.5212460251216 0.994413407821 650.8083959231797 0.994413407821 1038.7250766197956 0.994413407821
