x ave_toe max_toe robust_toe 
0 0.830735294118 0.670395056977 0.386907816526 
1 1.65315789474 1.08005905512 1.41628221685 
2 0.867446808511 1.02631661757 0.889166297572 
3 1.07629987096 1.07784615385 0.55483078185 
4 1.2075 0.974202755906 0.638886500087 
5 1.5146875 1.07658388855 0.78731338955 
6 0.804934964199 1.3265957723 0.438149712077 
7 0.851373343583 0.934 0.586374903455 
8 1.27668465124 1.30428571429 0.780064783416 
9 0.948034838599 1.25075936531 0.900878488194 
10 2.28683415493 0.715683607731 0.947740182831 
11 0.780725638557 1.2535483871 0.422561338727 
12 1.49245901639 1.08158491168 1.02866022399 
13 0.584107769061 0.771568553755 0.555734005697 
14 1.77040816327 0.942602362205 0.823448258643 
15 0.703552023719 0.801538461538 0.3435966961 
16 1.20523617306 1.98308773903 0.880893522468 
17 1.11345894736 1.08647100931 0.487942594179 
18 1.74308504682 1.80837068443 0.746928801478 
19 1.77706031882 1.1405511811 1.19429075821 
20 1.352 1.26976123952 1.11513698713 
21 0.888570625321 1.2545 0.896071428571 
22 1.6695 0.933338850702 1.23481511745 
23 1.73075955669 1.91850751611 1.16855391204 
24 1.00651701323 1.25356661832 0.824346611605 
25 1.85205128205 1.61989400363 1.32586476064 
26 1.3512195122 1.05481472904 0.840173848659 
27 2.03 1.28857142857 0.848455572151 
28 1.119962478 1.25589845075 0.99105164299 
29 1.28162627549 1.30806391848 0.495927173789 
