nclusters fab0 fab1 fab2 fab3 fab4 fab5 fab6 fab7 fab8 fab9 fab10 fab11 
1 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 
2 0.3944524855490109 0.5361129892270972 0.3372741646385776 0.6253362370742238 0.496930816187354 0.5873907338479036 0.40775556959487447 0.40149906334752394 0.5320661497170924 0.7631204052819366 0.5973936789789023 0.4529123869822419 
3 0.3900478694638727 0.3613622233425394 0.36883900322056695 0.5726773344100651 0.501099254213695 0.39838930740171075 0.43694263541713896 0.3963682618115896 0.3895221928725977 0.6732530536436538 0.4645036908332495 0.3402624954118928 
4 0.3681066377108201 0.3462102000718552 0.3799406184479449 0.5226912833232098 0.4396337631303099 0.44455174239391926 0.4025234447385987 0.367543283727675 0.3693605057085335 0.615561100212307 0.48582036021674957 0.34106558626724165 
5 0.3190077952046009 0.34763589625635904 0.3551129736703087 0.49354830172112396 0.4172783717721382 0.3645200256066121 0.3851975150868251 0.30740151972076246 0.3718386747121798 0.5632659423082101 0.41307987426346593 0.35651131565559424 
6 0.30418835296798996 0.3272031748539092 0.35086629593897833 0.47942103906376266 0.3899294364132325 0.34149295017118697 0.36400152982889966 0.3032370176504545 0.35639893909206655 0.5435357833060732 0.3816311720913562 0.3338657348372257 
7 0.2959042215896889 0.30387733112585413 0.3456755290869129 0.4892208164414039 0.3757191760258435 0.3305835745831118 0.3507830645828097 0.30781263964336303 0.365748315957374 0.526798822040175 0.36777985560674753 0.311210371412672 
8 0.28780814400044885 0.311756986588417 0.32833150785081466 0.49695573689449324 0.37600303491753473 0.32235013999341466 0.3538436276861179 0.30071767518066667 0.38065385345528 0.4515793753121474 0.3558533705711482 0.31173417084529187 
9 0.2780471868633517 0.3041555849598728 0.3141783581096396 0.4866088491178685 0.35968885547715024 0.3203723903850134 0.34781668181001046 0.29167444300042716 0.375722968382752 0.46298728128153166 0.3557831465065141 0.31377140423903604 
10 0.2725700168946691 0.3074544056189994 0.3171917022035582 0.49649624995052655 0.36538446302594985 0.3131597707958129 0.3370857548326054 0.3036568463469811 0.3541940116330079 0.4665086036787829 0.3449378498025138 0.3017758474438703 
