timeseries lftoe_perf hftoe_perf static_perf cluster_indices
73 755.745584369 699.85248221 529.021909058 1 
74 485.1888537 485.1888537 339.63219759 0 
75 615.366038598 615.366038593 430.756227019 1 
76 831.364561489 831.364561487 581.955193043 2 
77 651.913030795 651.913030795 456.339121556 0 
78 671.895886542 671.895886542 470.327120579 2 
79 698.67940849 693.187866226 518.241493194 1 
80 771.079688253 771.079688253 539.755781777 1 
81 765.260477802 765.260477802 535.682334461 1 
82 745.133579669 679.513820003 552.698611501 1 
83 688.311985853 709.655697421 496.758988195 1 
84 591.034101718 544.914512561 413.723871202 0 
85 575.453031194 575.453031194 402.817121836 0 
86 769.666043451 912.79826621 638.958786347 0 
87 620.033644176 620.033644175 434.023550923 2 
88 714.657983089 766.532548307 568.018204042 2 
89 511.385259811 528.315987702 369.821191392 0 
90 740.590774057 759.731552543 547.999025992 1 
91 807.281311263 807.281311263 565.096917884 1 
92 653.778272519 678.899705098 475.229793569 2 
93 580.201313246 580.201313246 406.140919272 2 
94 502.470176558 559.14971067 391.404797471 0 
95 643.312823635 643.312823635 450.318976545 0 
96 515.511415971 515.511415971 360.85799118 1 
97 601.058427599 601.058427599 420.74089932 0 
98 698.99147268 698.99147268 489.294030876 2 
99 660.164061652 660.164061652 462.114843156 2 
100 757.24497751 757.24497751 530.071484257 2 
101 532.554928502 588.005953164 387.732897974 2 
102 703.710951607 678.055576966 492.597666125 0 
103 613.07859523 631.425311428 441.997718 0 
104 748.612586881 738.14344734 524.028810816 2 
105 831.336227833 700.667587899 593.139953725 1 
106 513.236526319 549.151899055 384.406329339 0 
107 602.811736476 602.811736476 421.968215533 1 
108 725.859407499 741.154030411 518.807821292 0 
109 620.911044451 620.911044451 434.637731116 0 
110 773.129420212 823.58476548 581.001954951 2 
111 768.475900676 768.475900676 537.933130473 2 
112 637.418874778 637.418874778 446.193212344 2 
113 672.311617905 683.241215607 478.268850925 0 
114 556.81396378 574.922483834 402.445738684 0 
115 791.651405898 776.514114822 588.175548068 1 
116 450.152908466 450.152908466 315.107035926 0 
117 625.988387303 625.988387297 438.191871112 1 
118 486.286798204 486.286798203 340.400758743 0 
119 628.505532666 628.505532666 439.953872866 2 
120 551.599209085 551.599209085 386.11944636 0 
121 446.744654997 493.020413934 345.114289753 0 
122 604.980245538 577.543321537 423.486171877 1 
123 690.97101631 690.97101631 483.679711417 1 
124 728.367700128 713.849978427 492.811835816 2 
125 634.307189437 634.307189437 444.015032606 2 
126 683.543485307 683.543485307 478.480439715 2 
127 666.080946394 692.040732189 484.428512532 2 
