x_axis k1_alu_fte k1_alu_ste k1_lu90_fte k1_lu90_ste k1_mlu_fte k1_mlu_ste k1_stretch_fte k1_stretch_ste k4_alu_fte k4_alu_ste k4_lu90_fte k4_lu90_ste k4_mlu_fte k4_mlu_ste k4_stretch_fte k4_stretch_ste 
0 0.260497 0.267161 0.452864 0.465825 0.467808 0.47036 5.422455 5.943648 0.260497 0.270273 0.452864 0.47036 0.467808 0.465825 5.422455 5.650266 
1 0.261779 0.268033 0.46469 0.472116 0.474238 0.477084 5.447469 5.974956 0.261779 0.271449 0.46469 0.477084 0.474238 0.472116 5.447469 5.772099 
2 0.26239 0.268651 0.468177 0.472879 0.476119 0.4779 5.461581 5.999301 0.26239 0.272177 0.468177 0.4779 0.476119 0.472879 5.461581 5.781396 
3 0.262905 0.269147 0.470878 0.474937 0.47721 0.480099 5.472279 6.016479 0.262905 0.272373 0.470878 0.480099 0.47721 0.474937 5.472279 5.786814 
4 0.263097 0.269436 0.472499 0.476229 0.47786 0.48148 5.477568 6.026352 0.263097 0.272705 0.472499 0.48148 0.47786 0.476229 5.477568 5.790708 
5 0.26337 0.269672 0.47337 0.476829 0.478752 0.482122 5.483688 6.035742 0.26337 0.273003 0.47337 0.482122 0.478752 0.476829 5.483688 5.792754 
6 0.263507 0.270108 0.474318 0.477774 0.479263 0.483132 5.487528 6.040425 0.263507 0.273388 0.474318 0.483132 0.479263 0.477774 5.487528 5.796102 
7 0.26361 0.270348 0.475566 0.478468 0.479763 0.483874 5.490789 6.052857 0.26361 0.273742 0.475566 0.483874 0.479763 0.478468 5.490789 5.799525 
8 0.263844 0.270658 0.476356 0.478909 0.480477 0.484345 5.500935 6.056331 0.263844 0.274014 0.476356 0.484345 0.480477 0.478909 5.500995 5.800965 
9 0.264037 0.270884 0.47702 0.479306 0.480822 0.484769 5.506833 6.060906 0.264064 0.274715 0.47702 0.484769 0.480822 0.479306 5.508405 5.80455 
10 0.264199 0.271266 0.477661 0.479722 0.481307 0.485215 5.515143 6.065673 0.264207 0.274849 0.477661 0.485215 0.481307 0.479722 5.515227 5.806578 
11 0.264322 0.271499 0.478227 0.480054 0.481516 0.485569 5.519775 6.071778 0.264326 0.275018 0.478227 0.485569 0.481516 0.480054 5.519865 5.810535 
12 0.264451 0.271686 0.4785 0.480483 0.482363 0.486028 5.523291 6.078189 0.26451 0.27513 0.4785 0.486028 0.482363 0.480483 5.523618 5.814372 
13 0.264692 0.271855 0.47905 0.480718 0.482729 0.486279 5.526921 6.086349 0.264695 0.2753 0.47905 0.486279 0.482729 0.480718 5.527179 5.817093 
14 0.264855 0.272159 0.479581 0.480882 0.483164 0.486455 5.530431 6.093219 0.264859 0.275501 0.479583 0.486455 0.483164 0.480882 5.531067 5.819973 
15 0.264973 0.272294 0.480375 0.481281 0.483952 0.48688 5.534175 6.103794 0.264976 0.27573 0.480379 0.48688 0.483952 0.481281 5.534658 5.823411 
16 0.265036 0.272453 0.480686 0.481734 0.484498 0.487365 5.538615 6.112629 0.265037 0.276181 0.480718 0.487365 0.484498 0.481734 5.53866 5.825775 
17 0.265129 0.272644 0.481118 0.482035 0.484717 0.487686 5.541105 6.123852 0.265133 0.276737 0.48117 0.487686 0.484717 0.482035 5.541171 5.837151 
18 0.265236 0.272766 0.481479 0.483059 0.485322 0.488782 5.543112 6.128493 0.265236 0.276865 0.481481 0.488782 0.485322 0.483059 5.543184 5.840307 
19 0.26542 0.272856 0.481753 0.483802 0.485938 0.489576 5.545089 6.135237 0.26542 0.276963 0.481754 0.489576 0.485938 0.483802 5.545164 5.847228 
20 0.265498 0.27294 0.482207 0.484611 0.486324 0.49044 5.547516 6.143049 0.265498 0.277026 0.482227 0.49044 0.486324 0.484611 5.547528 5.85141 
21 0.265596 0.273061 0.482546 0.485237 0.486845 0.491109 5.549616 6.153621 0.265608 0.277146 0.482548 0.491109 0.486845 0.485237 5.549664 5.856603 
22 0.265732 0.273188 0.48298 0.485704 0.487265 0.491608 5.553123 6.161862 0.265734 0.277249 0.482993 0.491608 0.487265 0.485704 5.553225 5.863374 
23 0.265883 0.273378 0.48331 0.486041 0.488083 0.491969 5.555103 6.181278 0.265898 0.277369 0.483336 0.491969 0.488083 0.486041 5.555235 5.870091 
24 0.265995 0.273499 0.483854 0.486407 0.488389 0.49236 5.557125 6.186885 0.265997 0.277486 0.483921 0.49236 0.488389 0.486407 5.557599 5.874213 
25 0.266085 0.273581 0.484252 0.486813 0.488529 0.492793 5.560566 6.196764 0.266101 0.277581 0.484283 0.492793 0.488529 0.486813 5.560731 5.877522 
26 0.266157 0.273665 0.484553 0.487011 0.488987 0.493006 5.5632 6.207879 0.266164 0.277707 0.484596 0.493006 0.488987 0.487011 5.563305 5.884227 
27 0.266232 0.27379 0.485119 0.487466 0.48954 0.493492 5.565627 6.214539 0.266237 0.277902 0.485148 0.493492 0.48954 0.487466 5.565864 5.888496 
28 0.26629 0.273954 0.485466 0.488004 0.489941 0.494066 5.567877 6.224502 0.26629 0.278141 0.485509 0.494066 0.489941 0.488004 5.568456 5.895282 
29 0.266418 0.274051 0.48617 0.488248 0.490309 0.494328 5.570148 6.234117 0.266418 0.278277 0.486185 0.494328 0.490309 0.488248 5.570277 5.898771 
30 0.266545 0.274322 0.486414 0.488979 0.490712 0.495109 5.571597 6.246876 0.266532 0.27837 0.486419 0.495109 0.490712 0.488979 5.571603 5.903004 
31 0.266649 0.274526 0.486845 0.489454 0.49097 0.495616 5.574219 6.253602 0.266648 0.278416 0.486845 0.495616 0.49097 0.489454 5.574339 5.906535 
32 0.266828 0.274703 0.487288 0.490011 0.491261 0.496212 5.576232 6.266904 0.266794 0.278458 0.487321 0.496212 0.491261 0.490011 5.576358 5.909121 
33 0.26695 0.274847 0.488086 0.490647 0.491558 0.496892 5.578959 6.279723 0.266948 0.278532 0.488092 0.496892 0.491558 0.490647 5.57907 5.912313 
34 0.267059 0.274973 0.488495 0.49096 0.491839 0.497227 5.579832 6.285723 0.267056 0.278665 0.488507 0.497227 0.491839 0.49096 5.579982 5.918157 
35 0.267202 0.275056 0.488781 0.491353 0.492429 0.497742 5.582523 6.293934 0.267202 0.27884 0.488802 0.497742 0.492429 0.491353 5.582523 5.921697 
36 0.26733 0.275147 0.489237 0.49172 0.493131 0.498191 5.583942 6.297969 0.26733 0.278943 0.489237 0.498191 0.493131 0.49172 5.583942 5.926107 
37 0.267421 0.27527 0.489542 0.492224 0.493277 0.498872 5.585661 6.312828 0.267421 0.278977 0.489542 0.498872 0.493277 0.492224 5.585661 5.928852 
38 0.267507 0.275376 0.489966 0.492578 0.493558 0.49931 5.586945 6.321828 0.267507 0.279044 0.489966 0.49931 0.493558 0.492578 5.586933 5.933046 
39 0.267607 0.275482 0.490266 0.492909 0.493822 0.499704 5.589534 6.332937 0.267607 0.279207 0.490266 0.499704 0.493822 0.492909 5.589519 5.936175 
40 0.267704 0.275611 0.490661 0.493264 0.493982 0.500135 5.59209 6.339588 0.267704 0.279304 0.490661 0.500135 0.493982 0.493264 5.592006 5.940294 
41 0.26788 0.275786 0.490877 0.493681 0.494479 0.500418 5.594277 6.351042 0.26788 0.279381 0.490877 0.500418 0.494479 0.493681 5.59407 5.943279 
42 0.268054 0.275927 0.491071 0.493889 0.495008 0.501268 5.596524 6.36429 0.268054 0.279528 0.491071 0.501268 0.495008 0.493889 5.596446 5.945358 
43 0.26821 0.275997 0.491531 0.49411 0.49529 0.502052 5.598363 6.376713 0.26821 0.279714 0.491546 0.502052 0.49529 0.49411 5.598183 5.947224 
44 0.268346 0.276131 0.491701 0.495188 0.495623 0.502667 5.601288 6.386058 0.268346 0.27985 0.491729 0.502667 0.495623 0.495188 5.601273 5.949414 
45 0.268501 0.276203 0.491904 0.495576 0.495858 0.503618 5.603556 6.392352 0.268501 0.279997 0.491972 0.503618 0.495858 0.495576 5.603484 5.952654 
46 0.268631 0.276289 0.492398 0.495938 0.49615 0.504726 5.605356 6.401229 0.268631 0.280134 0.492406 0.504726 0.49615 0.495938 5.6052 5.955852 
47 0.268725 0.276396 0.492964 0.496748 0.496703 0.505613 5.6076 6.406362 0.268725 0.280233 0.493 0.505613 0.496703 0.496748 5.607567 5.959401 
48 0.268917 0.276547 0.493225 0.497386 0.497154 0.506118 5.61051 6.409422 0.268917 0.280312 0.493229 0.506118 0.497154 0.497386 5.61051 5.962158 
49 0.26906 0.276736 0.493468 0.498052 0.497688 0.507253 5.612565 6.413151 0.26906 0.280519 0.493491 0.507253 0.497688 0.498052 5.612565 5.966637 
50 0.269352 0.276908 0.493833 0.498917 0.497927 0.507624 5.614911 6.415353 0.269352 0.28065 0.493835 0.507624 0.497927 0.498917 5.614911 5.971803 
51 0.269485 0.277086 0.493982 0.50033 0.498075 0.507818 5.617575 6.420714 0.269485 0.280954 0.493996 0.507818 0.498075 0.50033 5.617575 5.974761 
52 0.269595 0.277474 0.494261 0.5008 0.498698 0.508589 5.622615 6.426498 0.269595 0.28103 0.494363 0.508589 0.498698 0.5008 5.622615 5.977182 
53 0.269964 0.277786 0.494786 0.501248 0.499365 0.509147 5.624484 6.430236 0.269964 0.281114 0.494798 0.509147 0.499365 0.501248 5.624484 5.981907 
54 0.270075 0.278127 0.495188 0.501712 0.500226 0.509929 5.627526 6.433527 0.270075 0.281214 0.495194 0.509929 0.500226 0.501712 5.627526 5.985327 
55 0.270653 0.278236 0.495342 0.502097 0.500436 0.511189 5.634636 6.437823 0.270653 0.281404 0.495362 0.511189 0.500436 0.502097 5.634636 5.987997 
56 0.271061 0.278551 0.4958 0.50279 0.500759 0.511652 5.637852 6.443013 0.271061 0.281473 0.495809 0.511652 0.500759 0.50279 5.637852 5.990391 
57 0.271426 0.278811 0.496239 0.503196 0.501455 0.51314 5.642604 6.447447 0.271426 0.281574 0.496245 0.51314 0.501455 0.503196 5.642604 5.99358 
58 0.271864 0.279146 0.496704 0.503722 0.502097 0.514466 5.648502 6.453168 0.271864 0.281646 0.496708 0.514466 0.502097 0.503722 5.648502 5.999166 
59 0.272245 0.279568 0.496847 0.504564 0.502424 0.516418 5.653383 6.458145 0.272245 0.281838 0.496859 0.516418 0.502424 0.504564 5.653383 6.00351 
60 0.272778 0.28071 0.497511 0.504841 0.503165 0.518159 5.663004 6.464007 0.272778 0.282012 0.497515 0.518159 0.503165 0.504841 5.663004 6.006996 
61 0.273017 0.281257 0.497848 0.505772 0.503452 0.518423 5.670024 6.468114 0.273017 0.282203 0.497851 0.518423 0.503452 0.505772 5.670024 6.010509 
62 0.273565 0.281616 0.497954 0.506391 0.503968 0.518701 5.675139 6.474369 0.273565 0.282362 0.497964 0.518701 0.503968 0.506391 5.675139 6.015906 
63 0.274522 0.281908 0.498212 0.507186 0.504564 0.519403 5.687433 6.47862 0.274522 0.282593 0.498337 0.519403 0.504564 0.507186 5.687433 6.024 
64 0.275089 0.282925 0.498893 0.508041 0.505201 0.520447 5.693337 6.482919 0.275089 0.28286 0.498893 0.520447 0.505201 0.508041 5.693337 6.026736 
65 0.276188 0.283287 0.49941 0.508845 0.505736 0.520828 5.700633 6.48459 0.276188 0.282994 0.49941 0.520828 0.505736 0.508845 5.700633 6.031608 
66 0.277187 0.284198 0.500303 0.510007 0.506375 0.521518 5.709435 6.489366 0.277187 0.283426 0.500303 0.521518 0.506375 0.510007 5.709435 6.035898 
67 0.278218 0.284434 0.500467 0.510838 0.507081 0.523251 5.723697 6.490635 0.278218 0.283593 0.500467 0.523251 0.507081 0.510838 5.723697 6.038265 
68 0.279485 0.284749 0.500795 0.511084 0.507924 0.523992 5.744715 6.492984 0.279485 0.283733 0.500795 0.523992 0.507924 0.511084 5.744715 6.041547 
69 0.280153 0.285083 0.501965 0.51259 0.508743 0.524737 5.788869 6.495771 0.280153 0.283887 0.501965 0.524737 0.508755 0.51259 5.788869 6.044799 
70 0.281234 0.285261 0.502459 0.513211 0.50904 0.525666 5.811609 6.499854 0.281234 0.284391 0.502459 0.525666 0.509081 0.513211 5.811609 6.049098 
71 0.281763 0.285613 0.503165 0.514265 0.510771 0.526294 5.844111 6.506535 0.281763 0.284756 0.503165 0.526294 0.510771 0.514265 5.847576 6.051918 
72 0.282285 0.285867 0.503547 0.515234 0.512358 0.527547 5.894784 6.511596 0.282285 0.28513 0.503547 0.527547 0.512358 0.515234 5.894784 6.055728 
73 0.282661 0.286258 0.504647 0.515921 0.51293 0.52817 5.93988 6.514356 0.282661 0.285561 0.504647 0.52817 0.51293 0.515921 5.93988 6.059088 
74 0.283053 0.286417 0.50533 0.516525 0.513754 0.530037 5.992218 6.517461 0.283053 0.285735 0.50533 0.530037 0.513754 0.516525 5.992218 6.06525 
75 0.283608 0.287452 0.506326 0.51697 0.514888 0.531497 6.059184 6.520854 0.283608 0.28608 0.506326 0.531497 0.514888 0.51697 6.059184 6.069576 
76 0.284132 0.28829 0.507096 0.517519 0.516196 0.533031 6.104157 6.52272 0.284132 0.286485 0.507096 0.533031 0.516196 0.517519 6.104157 6.07452 
77 0.284617 0.288743 0.508709 0.518187 0.516979 0.533536 6.127281 6.526551 0.284617 0.286939 0.508709 0.533536 0.516979 0.518187 6.127281 6.076608 
78 0.285278 0.289251 0.509595 0.519007 0.518193 0.53441 6.164874 6.532236 0.285278 0.287462 0.509595 0.53441 0.518193 0.519007 6.164874 6.081414 
79 0.28575 0.289574 0.510884 0.51925 0.519257 0.535494 6.184212 6.539349 0.28575 0.287806 0.510884 0.535494 0.519257 0.51925 6.184212 6.08496 
80 0.286352 0.290299 0.512317 0.521071 0.520209 0.536343 6.197733 6.54357 0.286352 0.288228 0.512317 0.536343 0.520209 0.521071 6.197733 6.088014 
81 0.286758 0.291394 0.513567 0.52179 0.520766 0.53741 6.233895 6.549675 0.286758 0.288716 0.513567 0.53741 0.520766 0.52179 6.233895 6.092193 
82 0.287126 0.292156 0.51462 0.523626 0.52289 0.538083 6.269379 6.553302 0.287126 0.289135 0.51462 0.538083 0.52289 0.523626 6.269379 6.09558 
83 0.28773 0.292853 0.515692 0.524333 0.524083 0.538771 6.309396 6.557868 0.28773 0.289465 0.515692 0.538771 0.524083 0.524333 6.309396 6.097398 
84 0.288206 0.293669 0.516805 0.524525 0.525408 0.53937 6.336378 6.568734 0.288206 0.289957 0.516805 0.53937 0.525408 0.524525 6.336378 6.101565 
85 0.28922 0.294229 0.518109 0.52471 0.525985 0.540208 6.368907 6.58185 0.28922 0.290619 0.518109 0.540208 0.525985 0.52471 6.368907 6.104493 
86 0.28996 0.294501 0.519396 0.526382 0.528007 0.541278 6.392466 6.583626 0.28996 0.291008 0.519396 0.541278 0.528007 0.526382 6.392466 6.107427 
87 0.291166 0.295114 0.520668 0.527346 0.529101 0.54241 6.42273 6.593445 0.291166 0.291698 0.520668 0.54241 0.529101 0.527346 6.42273 6.110004 
88 0.291884 0.295554 0.522266 0.527724 0.530398 0.543393 6.449445 6.597417 0.291884 0.292076 0.522266 0.543393 0.530331 0.527724 6.449445 6.112779 
89 0.292514 0.296068 0.523869 0.528991 0.531171 0.54464 6.480594 6.600033 0.292514 0.292437 0.523869 0.54464 0.531157 0.528991 6.480594 6.117597 
90 0.293087 0.296433 0.525425 0.529247 0.531888 0.54526 6.50943 6.608001 0.293087 0.292932 0.525425 0.54526 0.531888 0.529247 6.50943 6.123768 
91 0.293738 0.296974 0.526813 0.529869 0.533756 0.546678 6.538266 6.618153 0.293738 0.293453 0.526813 0.546678 0.533756 0.529869 6.538266 6.129966 
92 0.294709 0.297222 0.528059 0.530398 0.539517 0.54696 6.559713 6.623301 0.294709 0.294404 0.528059 0.54696 0.539517 0.530398 6.559713 6.133095 
93 0.295362 0.297765 0.529903 0.531171 0.540861 0.54766 6.583413 6.631815 0.295362 0.294902 0.529903 0.54766 0.540861 0.531171 6.583413 6.136539 
94 0.296089 0.298516 0.530812 0.531888 0.542902 0.54905 6.592878 6.637824 0.296094 0.296282 0.530734 0.54905 0.542902 0.531888 6.592878 6.140538 
95 0.296817 0.298978 0.531683 0.534251 0.547007 0.550782 6.602922 6.647316 0.296817 0.29662 0.531683 0.550782 0.547007 0.534251 6.602922 6.14412 
96 0.298377 0.301158 0.533788 0.536058 0.550328 0.553003 6.625044 6.66273 0.298377 0.297135 0.533788 0.553003 0.550328 0.536058 6.625044 6.151323 
97 0.299254 0.302957 0.541951 0.539421 0.556582 0.554873 6.640116 6.677616 0.299254 0.298894 0.541951 0.554873 0.556582 0.539421 6.640116 6.168162 
98 0.300711 0.304243 0.546948 0.541267 0.579057 0.560138 6.657852 6.697974 0.300711 0.300677 0.546948 0.560138 0.579057 0.541267 6.657852 6.174519 
99 0.303248 0.305792 0.552687 0.544016 0.657683 0.606548 6.696621 6.72057 0.303248 0.30211 0.552687 0.606548 0.657683 0.544016 6.696621 6.18888 
100 0.308355 0.308573 0.597141 0.55519 0.897538 0.632107 6.846927 6.780459 0.308355 0.305185 0.597141 0.632107 0.897538 0.55519 6.846927 6.235233 
