nclusters fabric0 fabric1 fabric2 fabric3 fabric4 fabric5 fabric6 fabric7 fabric8 fabric9 fabric10 fabric11 
1 64.0410579962 8.58118528658 36.5646783874 19.0554328362 17.5545597938 5.61063394588 8.61888582589 6.99029995738 17.3798544569 11.2248703578 9.13598845571 39.11692438 
2 40.7349598504 7.40907677364 34.0491359794 11.1467450989 13.1192814629 4.92063221901 7.556458372 5.76618325574 12.3798526457 8.99344114025 6.58086472997 31.0761808567 
3 35.1894667687 6.94271733838 32.2588499838 8.20868619685 11.2896236592 4.52992967101 6.9509453873 5.30670845077 11.2108937964 8.08997597609 5.65082713953 26.1145542209 
4 31.0528950484 6.66086326441 30.8975174563 7.39191865166 9.92027901002 4.2562248536 6.37066418025 4.96916577957 10.0699644622 7.54574774191 5.29593367826 24.3315957949 
5 29.144978721 6.38322823006 29.9416934889 6.92368441688 8.94561004125 3.9116621807 6.02704344748 4.663022113 9.35638570874 7.14564698518 4.96346527942 22.784483163 
6 27.5572073674 6.21915795353 29.189129446 6.42063245191 8.48201287543 3.76230014171 5.74427574468 4.40325665845 8.79236273816 6.91274396425 4.69626615915 21.6237159934 
7 26.0404193207 6.06401640016 28.493929205 5.96874115271 7.98516582716 3.60930543562 5.47618317914 4.25234689545 8.44527855461 6.74108261661 4.49781802847 20.5747498558 
8 25.2812479245 5.89808555168 27.9388692287 5.72574357951 7.64571032039 3.51864579698 5.344000224 4.05306740241 8.00639672845 6.57150784202 4.3632207205 19.6347180255 
9 24.5399119791 5.80302616339 27.5226411343 5.50137826916 7.40219885473 3.40521930924 5.21851282757 3.85014099423 7.72994738406 6.41729201939 4.12688408623 18.7523997382 
10 24.0911233159 5.71287985965 27.1430812904 5.27324093873 7.12107428921 3.32392740355 5.11872829229 3.73810013293 7.39033431884 6.25014712947 3.98202572871 18.0110319178 
