x_axis k1_alu_fte k1_alu_ste k1_lu90_fte k1_lu90_ste k1_mlu_fte k1_mlu_ste k1_stretch_fte k1_stretch_ste k4_alu_fte k4_alu_ste k4_lu90_fte k4_lu90_ste k4_mlu_fte k4_mlu_ste k4_stretch_fte k4_stretch_ste 
0 0.275681 0.227905 0.522946 0.526582 0.577768 0.600108 5.427312 5.470536 0.275681 0.23039 0.522946 0.533576 0.577768 0.595525 5.427312 5.48514 
1 0.277075 0.229369 0.531003 0.531859 0.589486 0.608922 5.438283 5.476338 0.277075 0.232447 0.531003 0.544342 0.589486 0.601072 5.437935 5.508162 
2 0.277617 0.230105 0.533658 0.533692 0.592183 0.62029 5.441676 5.481426 0.277583 0.233023 0.533948 0.547552 0.592183 0.61055 5.441379 5.513352 
3 0.278222 0.23084 0.536454 0.534802 0.594182 0.621446 5.44395 5.487303 0.278222 0.2339 0.536454 0.549314 0.594182 0.612443 5.44395 5.532273 
4 0.278972 0.231503 0.537688 0.535647 0.597534 0.62632 5.446266 5.491797 0.278972 0.234665 0.537688 0.551063 0.597534 0.61463 5.446185 5.541732 
5 0.279394 0.231766 0.53976 0.536408 0.599324 0.626738 5.448009 5.494233 0.279424 0.23524 0.539851 0.552057 0.599322 0.618934 5.448009 5.547096 
6 0.279897 0.232315 0.541528 0.537615 0.60123 0.631203 5.449545 5.497641 0.279906 0.235654 0.541673 0.553544 0.601215 0.619353 5.449461 5.550141 
7 0.280257 0.232623 0.543351 0.538648 0.602609 0.639368 5.451333 5.501721 0.280257 0.235987 0.543351 0.554317 0.602641 0.620492 5.450823 5.553294 
8 0.280459 0.232905 0.545426 0.539284 0.603328 0.639666 5.452401 5.504595 0.280459 0.236164 0.545426 0.555644 0.60336 0.622098 5.452281 5.55654 
9 0.280643 0.23314 0.546047 0.539817 0.604382 0.640496 5.453622 5.506911 0.280643 0.236468 0.546078 0.557319 0.604481 0.624068 5.453577 5.560227 
10 0.280958 0.233333 0.547188 0.540473 0.604845 0.645584 5.454579 5.50914 0.280958 0.236723 0.547201 0.558886 0.605013 0.625098 5.454579 5.562036 
11 0.281173 0.233487 0.548162 0.541525 0.605959 0.647323 5.455749 5.511615 0.281191 0.236875 0.548193 0.559896 0.606048 0.625874 5.455749 5.565132 
12 0.28133 0.233707 0.548798 0.542066 0.606725 0.651559 5.457198 5.513433 0.281352 0.237094 0.54885 0.561667 0.60677 0.62803 5.457366 5.566377 
13 0.281454 0.233958 0.549983 0.54316 0.607538 0.652835 5.458227 5.515455 0.281465 0.237442 0.550309 0.562326 0.607538 0.629243 5.458059 5.568387 
14 0.281585 0.234058 0.551204 0.54387 0.60855 0.654564 5.459019 5.51664 0.281576 0.237631 0.551256 0.563306 0.608376 0.630574 5.458971 5.570184 
