x_axis k1_alu_fte k1_alu_ste k1_lu90_fte k1_lu90_ste k1_mlu_fte k1_mlu_ste k1_stretch_fte k1_stretch_ste k4_alu_fte k4_alu_ste k4_lu90_fte k4_lu90_ste k4_mlu_fte k4_mlu_ste k4_stretch_fte k4_stretch_ste 
0 0.276594 0.227937 0.526617 0.529756 0.57869 0.600269 5.429328 5.471976 0.276594 0.230694 0.526617 0.537354 0.57869 0.595749 5.429328 5.498343 
1 0.277223 0.229235 0.528509 0.530244 0.585335 0.608803 5.439045 5.47638 0.277223 0.232299 0.528509 0.545 0.585335 0.600943 5.439201 5.501316 
2 0.277877 0.230245 0.531967 0.535 0.592109 0.620347 5.441808 5.481684 0.277877 0.233384 0.531967 0.548387 0.592109 0.610614 5.44353 5.515449 
3 0.278682 0.230591 0.537429 0.535905 0.592891 0.621195 5.446038 5.485605 0.278682 0.233972 0.537429 0.55 0.594063 0.612296 5.446038 5.532435 
4 0.278949 0.231671 0.538387 0.537179 0.597734 0.626266 5.447346 5.491827 0.278949 0.234666 0.538387 0.55129 0.597734 0.61454 5.447346 5.543136 
5 0.279722 0.231762 0.54 0.53747 0.599727 0.626698 5.448042 5.493234 0.279722 0.234903 0.54 0.551801 0.599727 0.618885 5.448075 5.550072 
6 0.279886 0.232359 0.541429 0.538 0.60129 0.631304 5.448963 5.497116 0.279886 0.2357 0.541429 0.552885 0.60129 0.619304 5.449677 5.553069 
7 0.280049 0.232584 0.542941 0.538537 0.602394 0.639382 5.451021 5.503377 0.280049 0.236104 0.542941 0.554203 0.602394 0.620631 5.451921 5.559756 
8 0.280385 0.232906 0.544737 0.538889 0.603717 0.63964 5.452818 5.506917 0.280385 0.236297 0.544737 0.557391 0.603717 0.622225 5.453886 5.562348 
9 0.28072 0.233149 0.545185 0.539375 0.60418 0.640409 5.453886 5.508594 0.28072 0.236699 0.545185 0.558 0.60418 0.623787 5.454582 5.562693 
10 0.280923 0.233324 0.546905 0.539818 0.60516 0.645366 5.455185 5.511432 0.280923 0.236854 0.546905 0.55875 0.605227 0.624764 5.455185 5.565624 
11 0.280987 0.233583 0.547885 0.540838 0.606383 0.647169 5.456178 5.513103 0.280987 0.236932 0.547885 0.56 0.606656 0.625838 5.456178 5.566854 
12 0.281127 0.233848 0.551018 0.541667 0.607514 0.651416 5.45841 5.514468 0.281127 0.237023 0.551018 0.561538 0.607301 0.62799 5.459385 5.568321 
13 0.281397 0.233933 0.552 0.542 0.608198 0.652767 5.459595 5.515839 0.281294 0.237465 0.552381 0.563798 0.60793 0.629235 5.459946 5.569401 
14 0.281543 0.233982 0.552571 0.542581 0.609297 0.6546 5.460006 5.517321 0.281543 0.237515 0.552778 0.565161 0.609214 0.63059 5.460243 5.570472 
15 0.281692 0.23413 0.553333 0.542927 0.611042 0.657729 5.460993 5.518608 0.281743 0.237674 0.553846 0.566333 0.611042 0.631914 5.462187 5.572299 
16 0.281932 0.234234 0.554508 0.544267 0.611875 0.659781 5.462352 5.519667 0.281932 0.237869 0.554595 0.567745 0.611875 0.63265 5.462736 5.572968 
17 0.282328 0.234325 0.554828 0.544634 0.612116 0.660553 5.462736 5.520048 0.282328 0.238193 0.554917 0.567895 0.612116 0.633362 5.463729 5.573427 
18 0.282538 0.234646 0.555 0.545 0.613022 0.664038 5.464221 5.521389 0.282538 0.238315 0.555417 0.5688 0.613409 0.634079 5.465214 5.574288 
19 0.282988 0.234901 0.556137 0.546056 0.61625 0.664617 5.46549 5.52375 0.283009 0.238644 0.556144 0.569687 0.61625 0.634941 5.466306 5.575029 
20 0.283074 0.235113 0.55625 0.5465 0.617321 0.66595 5.467215 5.52534 0.283113 0.238719 0.55625 0.57 0.617321 0.635911 5.467713 5.57568 
