timeseries lftoe_perf hftoe_perf static_perf optimal_perf cluster_indices
41 652.533284065 652.533284065 456.773298846 652.533284065 0 
42 642.411641214 690.268673189 483.188071232 690.268673189 0 
43 513.516578437 513.516578437 359.461604906 513.516578437 0 
44 758.691192181 761.883917101 542.905439676 775.579199537 1 
45 640.993978902 511.955243786 456.931188615 652.758840878 2 
46 629.274600511 660.687325912 462.481128139 660.687325913 0 
47 703.193824246 703.193824246 492.235676972 703.193824246 2 
48 861.420077035 778.050912907 610.790716518 928.439751015 1 
49 597.830368035 597.830368035 418.481257625 597.830368035 2 
50 619.425453577 619.425453575 433.597817504 619.425453577 0 
51 881.642211766 851.670358892 617.149548236 881.642211766 2 
52 417.935136097 427.301317568 299.110922297 427.301317568 0 
53 498.106793232 526.09163039 368.264141273 526.09163039 0 
54 499.595475724 499.595475724 349.716833007 499.595475724 0 
55 794.409096341 772.969354251 563.591680046 843.695758702 1 
56 658.816456175 631.281441767 513.718794817 753.755965824 2 
57 437.293326209 437.293326209 306.105328346 437.293326209 0 
58 602.505467073 602.505467073 421.753826951 602.505467073 0 
59 591.151950899 622.239410182 430.395151369 622.239410187 2 
60 776.368771215 748.114816636 543.45813985 776.368771215 1 
61 619.221853346 619.221853345 433.455297342 619.221853346 2 
62 640.179913326 689.596701297 482.717690908 689.596701297 2 
63 683.016932516 752.339651179 526.637755825 752.339651179 2 
64 788.129176472 727.087222347 548.820714716 788.129176472 1 
65 699.459498487 699.459498486 489.621648941 699.459498487 2 
66 713.117219946 713.117219946 499.182053962 713.117219946 0 
67 714.706829177 765.432625521 564.268877919 806.098397028 2 
68 753.905503816 753.905503816 527.733852671 753.905503816 2 
69 663.10212032 663.10212032 464.171484224 663.10212032 1 
70 699.776634062 699.776634062 489.843643844 699.776634062 1 
71 715.97863531 758.224301934 582.847315347 832.639021924 0 
72 694.80149626 694.80149626 486.361047382 694.80149626 0 
73 689.493674926 732.756853855 527.458640526 815.347104951 1 
74 675.506594618 675.506594617 472.854616232 675.506594618 1 
75 631.350258701 631.350258701 441.945181091 631.350258701 2 
76 461.339101716 461.339101716 322.937371201 461.339101716 0 
77 848.31353677 759.605372488 581.45823028 877.819223041 1 
78 584.964302625 584.964302625 409.475011838 584.964302625 1 
79 803.481664828 746.870813469 562.437165379 803.481664828 1 
80 574.859215797 611.849869018 428.294908312 611.849869018 1 
81 758.552690111 792.207325672 554.54512797 792.207325672 1 
82 684.257706892 665.51359178 478.980394825 684.257706892 1 
83 468.534548375 549.397166898 384.578016829 549.397166898 0 
84 783.96026776 748.44757638 548.772187432 783.96026776 1 
85 543.497410375 543.497410375 380.448187263 543.497410375 0 
86 503.767004696 503.767004692 352.636903287 503.767004696 1 
87 726.254282131 675.189496706 525.184519747 750.263599638 2 
88 570.255736734 570.255736734 399.179015714 570.255736734 2 
89 746.397220281 750.000371028 525.00025972 750.000371028 2 
90 812.2214021 848.745763315 607.220584174 867.457977392 0 
91 816.637133667 810.862160096 628.691027061 914.708472475 2 
92 663.598527226 340.755278509 464.518969058 663.598527226 1 
93 781.673996493 702.611663643 580.065053741 875.101098913 2 
94 554.139094579 554.139094579 387.897366205 554.139094579 0 
95 796.355745309 732.878714026 543.585309277 867.879837102 1 
96 839.477098742 774.623336857 616.946342723 927.539606513 1 
97 676.141168211 613.241126519 503.072207824 718.674582606 2 
98 585.637190627 585.637190627 409.946033439 585.637190627 0 
99 759.795388253 778.837254798 568.881891237 812.688416052 1 
100 521.041631318 528.705569687 370.093898781 528.705569687 0 
101 506.924256982 506.924256982 354.846979888 506.924256982 0 
102 473.280330668 473.280330668 331.296231468 473.280330668 0 
103 645.450390577 657.864938683 460.505457078 657.864938683 0 
104 657.617811734 660.064373463 462.045061424 660.064373463 2 
105 560.053571035 535.826587828 392.037499725 560.053571035 1 
106 525.567332801 525.567332801 367.897132961 525.567332801 1 
107 705.396280342 683.154122904 507.749408134 725.356297334 1 
108 565.12734211 565.12734211 395.589139477 565.12734211 0 
109 566.305480957 566.305480956 396.41383667 566.305480957 2 
110 525.858027401 525.858027396 368.10061918 525.858027401 0 
111 561.340721962 561.340721962 392.938505373 561.340721962 0 
112 756.741273009 778.648058217 559.55688701 799.366981443 1 
113 733.594532149 690.548569022 513.516172504 733.594532149 2 
114 614.44343783 608.706164872 430.336436512 614.766337874 1 
115 603.144605821 603.144605821 422.201224075 603.144605821 2 
116 662.393503006 635.459099907 463.675452104 662.393503006 1 
117 607.392335743 563.322341859 438.413706629 626.305295184 2 
118 627.1035911 627.1035911 438.97251377 627.1035911 2 
119 786.646027848 754.063681906 559.068990337 818.325021212 1 
120 527.782562552 527.782562548 369.447793786 527.782562552 0 
121 667.19253928 814.073109571 557.418290632 819.239538712 0 
122 688.369531728 688.369531728 481.858672209 688.369531728 1 
123 707.355719024 622.848887654 526.797420543 752.567743632 2 
124 611.714777666 611.714777666 428.200344367 611.714777666 0 
125 591.341626599 595.012987043 416.50909093 595.012987043 0 
126 633.046507143 633.046507143 443.132555 633.046507143 1 
127 782.593053248 678.363684007 533.158669154 961.114325851 2 
128 762.071537314 647.010227017 564.211519125 882.524338407 2 
129 693.282367144 693.282367144 485.297657001 693.282367144 2 
130 673.760058714 683.624766073 499.757706668 723.64429593 1 
131 641.208367487 641.208367485 448.845857241 641.208367487 1 
132 490.237145773 391.741373561 372.236029698 531.765756712 0 
133 683.239500945 683.239500943 478.267650662 683.239500945 1 
134 665.133242397 634.994168667 465.593269678 665.133242397 2 
135 637.28040004 729.260226202 493.22406979 732.941265471 2 
136 536.355083151 521.189058749 375.448558206 536.355083151 0 
137 603.700577434 681.281363707 476.896954601 681.281363716 2 
138 649.383870856 563.46993942 454.568709599 649.383870856 1 
139 767.172078321 786.597869392 550.618508575 786.597869392 0 
140 490.642647898 557.522601836 390.265821285 557.522601836 0 
141 855.161153098 780.045634138 571.653040226 876.360105145 1 
142 713.442535491 764.273013248 523.952365009 764.273013249 1 
143 756.09364482 808.906779205 566.234745443 808.906779205 1 
144 495.776012095 495.776012095 347.043208467 495.776012095 0 
145 558.43245954 598.544682847 418.981277993 598.544682847 0 
146 831.671235905 811.81422628 582.169865134 831.671235905 2 
147 644.773466357 644.773466357 451.34142645 644.773466357 0 
148 554.488325073 566.085696469 396.259987528 566.085696469 2 
149 838.485535913 838.485535913 586.939875139 838.485535913 2 
150 831.898288951 797.536648293 610.26863847 894.970682057 2 
151 722.251149779 722.251149777 505.575804845 722.251149779 2 
152 389.702030456 389.702030443 272.791421319 389.702030456 0 
153 599.870887995 691.915462847 484.340823999 691.915462856 2 
154 728.825645901 711.989030327 505.257152231 732.673374926 1 
155 528.515011987 500.478896151 383.762474901 548.232107001 0 
156 751.848410979 751.84841097 526.293887685 751.848410979 1 
157 775.345176198 775.345176198 542.741623339 775.345176198 2 
158 515.314611426 515.314611426 360.720227998 515.314611426 0 
159 712.966929272 712.990449639 525.681379862 750.973399804 1 
160 548.863029577 532.023645246 384.204120704 548.863029577 0 
161 696.723849797 689.503927647 487.706694858 696.723849797 1 
162 547.855372117 524.779766855 398.87256644 635.035997356 2 
163 477.056166944 487.238481793 341.066937255 487.238481793 0 
164 554.884704649 564.325345813 395.027742069 564.325345813 0 
165 661.620675646 745.333415236 521.733390666 745.333415237 2 
166 627.331657916 561.831234635 439.132160541 627.331657916 1 
167 730.829893556 632.798993516 532.089325229 839.611846558 2 
168 729.823549147 729.823549147 510.876484403 729.823549147 2 
169 591.865659018 591.865659018 414.305961312 591.865659018 0 
170 698.956238543 698.956238543 489.26936698 698.956238543 2 
171 613.928420842 613.928420842 429.749894589 613.928420842 1 
172 656.404819702 642.867752406 459.483373791 656.404819702 0 
173 443.232638903 443.232638903 310.262847232 443.232638903 0 
174 766.511364457 751.82503362 583.605372991 905.521781987 2 
175 481.121586422 186.397565213 336.785110495 481.121586422 1 
176 667.449145973 667.449145973 467.214402181 667.449145973 1 
177 517.446303699 517.446303699 362.212412589 517.446303699 0 
178 880.721905031 865.348631515 616.505333522 880.721905031 1 
179 715.642242845 662.659387699 500.949569992 715.642242845 2 
