nclusters fabric0 fabric1 fabric2 fabric3 fabric4 fabric5 fabric6 fabric7 fabric8 fabric9 fabric10 fabric11 
1 33.4417033984 23.2238844644 22.1205208172 23.4993178118 24.8880861351 7.50713602512 15.6050188984 13.079618909 18.6477828635 11.4387892154 11.715932437 30.9934283468 
2 24.5779488354 19.1488049259 15.9013198447 13.3317132731 19.9491934497 6.37978967166 12.278200492 9.5830297062 14.182117961 9.5660872071 8.24934700683 27.8908393102 
3 21.7780060673 17.0231046993 14.2459466981 10.3068701689 17.9678046123 5.74457584919 10.4764203326 8.45491274286 11.1646050813 8.89530549011 7.18978653346 25.610651922 
4 20.422453598 16.0958615968 13.1883353882 8.97532271173 16.7380510979 5.41838192845 9.1402958708 7.68598197 10.5098269671 8.4919671356 6.46267712059 23.316960466 
5 19.4359071347 15.1917472119 12.519830055 8.50378836964 15.38029776 5.15092053393 8.60307238613 7.38584435035 9.79232952322 8.07289849497 5.54227477939 21.6362582062 
6 18.7216708692 14.6125697119 11.9126144955 7.89347162272 13.7604038299 4.96243796205 8.33393021647 7.07225409065 9.41498776723 7.68453888621 5.13324371491 20.8409331415 
7 18.1550648069 14.2360663691 11.480161771 7.37318385457 12.8729534657 4.83041394776 8.06789213183 6.68884028708 9.18326138654 7.37700296043 4.90194487633 20.0805361145 
8 17.6579633345 13.9056686912 11.2332644853 7.04927540624 12.2784605994 4.68659742473 7.8694698264 6.51333445104 8.94652229266 7.18728223088 4.73294847341 19.2522594911 
9 17.1512017045 13.5781491826 10.9137391771 6.797291334 11.7622942678 4.55965332047 7.66131669645 6.31727417154 8.73136347687 6.97383712516 4.43469564024 18.4826279926 
10 16.8337218942 13.389446762 10.661204734 6.61863597739 11.1718634556 4.40310875449 7.481808086 6.00840471024 8.50035337175 6.81410282648 4.28807202689 17.7841622807 
