nclusters fab0 fab1 fab2 fab3 fab4 fab5 fab6 fab7 fab8 fab9 fab10 fab11 
1 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 
2 0.5032036261528654 0.4058715721635473 0.319562074297695 0.5547098842875219 0.3762002607439271 0.54232759934123 0.6047302479973856 0.32588911213835337 0.7467551044512633 0.37238160559389955 0.4091922368910127 0.5354938688096361 
3 0.3295085194293401 0.32352124754361944 0.31813192702296567 0.4089266256321725 0.398618735831495 0.5660152904435068 0.546075186340382 0.3329334287023379 0.4610121301426847 0.3848058302108125 0.37242914944256655 0.41855857722280787 
4 0.27182363070674137 0.2743749864622267 0.28606680722613964 0.351536035935581 0.42899529063356234 0.51120528103193 0.4987669079811693 0.32674914757937257 0.4370169221119685 0.29202732766967227 0.4051018570589291 0.3070683556317605 
5 0.2720398871582326 0.27586819529716156 0.26465747359769787 0.35461343425327074 0.4608605477192711 0.45092571239704526 0.49780521356279916 0.32213960901594396 0.45392988767118403 0.2885245594616538 0.3671922329235613 0.29534647987337787 
6 0.2681049190949829 0.27919306606862515 0.26889650882819705 0.31755693784560257 0.4579033008578921 0.4149639733752566 0.4784144523127657 0.32651441860504593 0.42182881955483764 0.28697091618403325 0.3821336062644273 0.30691130017810164 
7 0.26377105478448815 0.2909679738277269 0.2826308696591637 0.3259357145025792 0.4578870105301146 0.40332785563285467 0.3899965250276537 0.3349961419551267 0.4193937554803979 0.29826537657640784 0.3379947091877973 0.2957280384746032 
8 0.2590985193209395 0.2694068085532826 0.28236856769232693 0.34115218717351387 0.44702359063050956 0.39465939933487393 0.3910974308819364 0.34384596260687356 0.44387815985864043 0.2961771196642546 0.31715512836565407 0.2788432130813686 
9 0.25520002796050395 0.264272516365757 0.2758023691991139 0.35003432284013325 0.439256194639275 0.3866487020615843 0.35058252410602275 0.3507584420524301 0.43541602818000813 0.2836826366543722 0.3067855807729188 0.25320522332748063 
10 0.22919998643488224 0.26452926130446186 0.2728322624009153 0.33572623667473694 0.43925651090503504 0.4028993530588082 0.35337444161721165 0.3311486757036958 0.44426689151245735 0.2951366198469393 0.298619709978343 0.25373406771384593 
