x y 
0.0 0.815196781669 
8.48157356938 0.842985985012 
16.9631471388 0.908777174731 
25.4447207081 0.936897440785 
33.9262942775 0.94488307467 
42.4078678469 0.967124469547 
50.8894414163 0.968378494969 
59.3710149857 0.969883325475 
67.852588555 0.971739283099 
76.3341621244 0.973876142417 
84.8157356938 0.976163484786 
93.2973092632 0.978490955969 
101.778882833 0.980156301729 
110.260456402 0.983035544097 
118.742029971 0.984119022061 
127.223603541 0.985142306805 
135.70517711 0.987680454258 
144.186750679 0.989205349171 
152.668324249 0.990178472898 
161.149897818 0.995184542381 
169.631471388 0.996538889836 
178.113044957 0.99753207797 
186.594618526 0.997953430512 
195.076192096 0.99818417119 
203.557765665 0.99830455763 
212.039339235 0.998434976274 
220.520912804 0.998615555935 
229.002486373 0.998745974578 
237.484059943 0.998856328815 
245.965633512 0.998976715256 
254.447207081 0.999036908476 
262.928780651 0.99907703729 
271.41035422 0.999147262713 
279.89192779 0.999217488137 
288.373501359 0.99925761695 
296.855074928 0.999297745764 
305.336648498 0.999347906781 
313.818222067 0.999388035594 
322.299795636 0.999418132204 
330.781369206 0.999438196611 
339.262942775 0.999528486441 
347.744516345 0.999719098306 
356.226089914 0.999759227119 
364.707663483 0.999789323729 
373.189237053 0.999839484746 
381.670810622 0.999859549153 
390.152384192 0.99987961356 
398.633957761 0.99993980678 
407.11553133 0.999959871187 
415.5971049 1.0 
424.078678469 1.0 
