nclusters fabric0 fabric1 fabric2 fabric3 fabric4 fabric5 fabric6 fabric7 fabric8 fabric9 fabric10 fabric11 
1 106.907718121 13.386488331 19.2816544526 6.32940233601 19.1461886682 6.60483123947 9.49907907793 6.45095221091 14.7351433664 9.9908440961 8.02947353856 30.3004246309 
2 57.1315973294 10.7074389051 12.5362012821 5.46132192737 14.5887768175 5.48225508272 7.92415422475 5.33466938143 10.6645297115 8.38750771548 6.59094229318 25.6766144583 
3 47.809595323 9.9569249791 11.2859561676 5.1741136087 12.8761644362 4.97066505098 7.06333932378 4.93811049289 9.09298398605 7.51144172156 5.60900829608 23.4661076107 
4 41.385917288 9.30902403861 10.5638481565 4.76732671307 11.1875919015 4.56485378812 6.59271330765 4.65495777824 8.60040512069 7.15370742952 5.10262311651 21.7395153207 
5 37.9971330694 8.83772804777 10.0809118885 4.49954695459 10.3962630856 4.29761910254 6.25826138167 4.47938221657 8.06906641523 6.79767434073 4.6387269255 19.917903039 
6 36.2335219661 8.46609879735 9.63796535697 4.31777407797 9.85445428902 4.12397031561 6.05442828319 4.33617059854 7.7057172806 6.53149678156 4.4199483678 18.8789463483 
7 34.926400982 8.21188276094 9.36360081607 4.16982392422 9.60448470462 3.9753337861 5.88829924176 4.20463832567 7.54824840447 6.33162986539 4.1253136578 18.1797993202 
8 33.553966891 7.982795114 9.06593008763 4.05955570474 9.10143579432 3.86513214957 5.76684173936 4.10531778175 7.31448149111 6.19118256471 3.95634930949 17.3355764439 
9 32.441669007 7.75328377957 8.81344035374 3.95506790733 8.95412068 3.76171583269 5.63941777155 4.01666039994 7.12433180828 6.04074692782 3.63892304604 16.240508824 
10 31.7725333618 7.60321157571 8.63566536246 3.8936819585 8.65035027168 3.68196051142 5.51470155798 3.91167835527 6.94107123307 5.92651498263 3.46547494961 15.4641601103 
