nclusters fabric0 fabric1 fabric2 fabric3 fabric4 fabric5 fabric6 fabric7 
2 87.8260346497 25.9553081801 24.986806939 99.092139202 23.4143474984 12.5949885558 11.2229315961 25.8323425852 
3 38.1411637697 6.88625282712 5.71494153047 17.1243149016 6.41489816499 4.73330617896 7.08833130294 6.4740251502 
4 12.286673863 4.63258933948 3.78902574056 9.89401804233 4.03362905616 3.21902176116 3.52429810055 4.36256231529 
5 9.03375803237 2.49496166327 2.64174887702 3.0088499061 3.60413897638 3.10966376617 2.01453167527 2.90027083656 
6 8.99287182655 2.5837825646 2.06176739772 2.37433700342 2.49664302435 1.66392311922 2.39835953587 1.99341872488 
7 4.41940779801 2.28791548982 2.00680421963 1.65419820883 1.82526270558 1.43022511913 1.49793247632 2.06592700843 
8 4.47749879798 2.0954134125 1.66419974299 1.94434063199 1.15647245281 0.812827145275 0.99846644576 1.291727372 
9 3.74083569701 1.65040596748 1.30047418246 0.895489605747 1.68495252019 0.666304780384 1.20230818023 1.16158240178 
10 3.32117703728 1.27714713786 0.997065269262 1.90396754966 1.50003529289 0.663006700427 0.688306715139 0.967529534035 
