x_range mlu lu90 lu50 ahc competitive_ratio 
0 0.000775859807618 0.000775859807618 0.000345597451087 1.64050797653 1.24194372544 
1 0.00494752032682 0.00494752032682 0.00284447986633 1.65406231117 1.32245512686 
2 0.00518161803484 0.00518161803484 0.00296721700579 1.65586117935 1.33733592447 
3 0.00532566197217 0.00532566197217 0.0030458830297 1.65703205299 1.34727809955 
4 0.00543546443805 0.00543546443805 0.00310346973129 1.65787402821 1.35478108606 
5 0.00552474427968 0.00552474427968 0.00315069383942 1.65854732227 1.36103531947 
6 0.00559892971069 0.00559892971069 0.00319215562195 1.65914634895 1.36644325771 
7 0.00567209953442 0.00567209953442 0.00322919292375 1.65963665676 1.37146434911 
8 0.00573511747643 0.00573511747643 0.00326200667769 1.66010085773 1.37585514739 
9 0.00578926876187 0.00578926876187 0.00329194962978 1.66053072643 1.38012103362 
10 0.00584335951135 0.00584335951135 0.00332025229 1.66088895035 1.38367193165 
11 0.00589327281341 0.00589327281341 0.00334622594528 1.6612553997 1.38723555193 
12 0.0059375599958 0.0059375599958 0.00337141612545 1.66157714558 1.39053329505 
13 0.00598047114909 0.00598047114909 0.00339439953677 1.66190127563 1.39371253854 
14 0.0060231173411 0.0060231173411 0.00341694918461 1.66220907402 1.39680873857 
15 0.00606178818271 0.00606178818271 0.00343902548775 1.6624975605 1.39965881233 
16 0.00610198639333 0.00610198639333 0.00345877720974 1.66276792717 1.40252973405 
17 0.00613806955516 0.00613806955516 0.00347822555341 1.66303579044 1.40545741248 
18 0.00617444561794 0.00617444561794 0.00349708157592 1.66329209042 1.40826518103 
19 0.00621109642088 0.00621109642088 0.00351614365354 1.66351918411 1.41075987276 
20 0.00624517723918 0.00624517723918 0.00353389070369 1.66373936367 1.41343623296 
21 0.00627903034911 0.00627903034911 0.00355122750625 1.66397802067 1.41598257403 
22 0.00631054583937 0.00631054583937 0.00356883252971 1.66419092846 1.41832409288 
23 0.00634274119511 0.00634274119511 0.00358490063809 1.66440610123 1.42061195247 
24 0.00637530954555 0.00637530954555 0.00360107654706 1.66461149883 1.42290881587 
25 0.00640444364399 0.00640444364399 0.00361687177792 1.66482428741 1.42519261854 
26 0.00643677869812 0.00643677869812 0.00363317131996 1.66502706242 1.42739944109 
27 0.00646539358422 0.00646539358422 0.00364765431732 1.66523806286 1.42950403476 
28 0.00649446900934 0.00649446900934 0.00366292521358 1.6654375 1.43170783826 
29 0.00652412604541 0.00652412604541 0.00367844104767 1.66563669872 1.43398850704 
30 0.00655307387933 0.00655307387933 0.0036932118237 1.66582159233 1.43607914522 
31 0.00658071879297 0.00658071879297 0.00370784243569 1.66600457859 1.43809750295 
32 0.00660963123664 0.00660963123664 0.00372241949663 1.66619340611 1.4402396592 
33 0.00663875136524 0.00663875136524 0.00373735674657 1.66637794209 1.44217524731 
34 0.00666675297543 0.00666675297543 0.0037512849085 1.6665578289 1.44421490441 
35 0.0066946502775 0.0066946502775 0.00376573600806 1.66673032475 1.4461723644 
36 0.00672104582191 0.00672104582191 0.00378052378073 1.6668978138 1.44817953224 
37 0.00674760527909 0.00674760527909 0.00379488244653 1.6670838995 1.45011485259 
38 0.00677281338722 0.00677281338722 0.00380919501185 1.66727010441 1.45196636293 
39 0.00679970951751 0.00679970951751 0.00382391456515 1.6674393816 1.4537593553 
40 0.00682642729953 0.00682642729953 0.0038377083838 1.66762355995 1.45586955364 
41 0.00685530900955 0.00685530900955 0.00385111104697 1.66779331398 1.45781087195 
42 0.00688396859914 0.00688396859914 0.00386522919871 1.66796354485 1.45969960098 
43 0.00690980535001 0.00690980535001 0.00387898855843 1.66812638474 1.4617451647 
44 0.00693626422435 0.00693626422435 0.0038936343044 1.66829768848 1.46363689088 
45 0.0069627771154 0.0069627771154 0.00390743045136 1.66846327019 1.46558404092 
46 0.00698998244479 0.00698998244479 0.00392180914059 1.66862885189 1.46744249735 
47 0.00701745366678 0.00701745366678 0.00393528398126 1.66879789066 1.46933730197 
48 0.00704473117366 0.00704473117366 0.00394931389019 1.66895739269 1.47122907003 
49 0.00707196211442 0.00707196211442 0.00396251445636 1.66912225914 1.47308965731 
50 0.00709842611104 0.00709842611104 0.00397633342072 1.66929451656 1.47492108348 
51 0.00712378742173 0.00712378742173 0.00399017659947 1.66947833729 1.4768396157 
52 0.00715113803744 0.00715113803744 0.0040043015033 1.66963831615 1.47857339958 
53 0.00717952288687 0.00717952288687 0.00401853676885 1.66981271935 1.48051629159 
54 0.00720585184172 0.00720585184172 0.00403328519315 1.66997627449 1.4823599793 
55 0.00723191071302 0.00723191071302 0.00404812814668 1.6701484127 1.48430990667 
56 0.00726059172302 0.00726059172302 0.0040626572445 1.67032686901 1.48615792113 
57 0.00728838285431 0.00728838285431 0.00407727528363 1.67050759029 1.48818132218 
58 0.00731549272314 0.00731549272314 0.00409209821373 1.67068068218 1.4900988668 
59 0.00734362518415 0.00734362518415 0.00410742731765 1.67085556221 1.4920796608 
60 0.00737459538504 0.00737459538504 0.00412276899442 1.67103294563 1.49401290335 
61 0.00740400375798 0.00740400375798 0.00413761707023 1.67122093868 1.49602898346 
62 0.00743335857987 0.00743335857987 0.00415333919227 1.67140070629 1.4980305246 
63 0.00746292667463 0.00746292667463 0.00416850205511 1.6715715332 1.49999909409 
64 0.0074937492609 0.0074937492609 0.00418432010338 1.67174700928 1.50203965958 
65 0.00752627011389 0.00752627011389 0.00420159846544 1.67193702888 1.5040615197 
66 0.00755623867735 0.00755623867735 0.00421692989767 1.6721374197 1.50620908921 
