x_range mlu lu90 lu50 ahc competitive_ratio 
0 0.000764423515648 -1.0 0.00026376315509 1.2337052393 1.04600660292 
1 0.00415423000231 -1.0 0.00238017807715 1.28221054554 1.0964043907 
2 0.00435324339196 0.00411103339866 0.00249118846841 1.28776736736 1.10729975755 
3 0.00448082154617 0.00433448329568 0.00255653448403 1.29097695827 1.1149247692 
4 0.00457223504782 0.00446643074974 0.00260917912237 1.2932768631 1.12097038949 
5 0.00464689685032 0.00456371996552 0.0026542278938 1.29503639221 1.12616904445 
6 0.00471486290917 0.00464160135016 0.00269095180556 1.29644020081 1.1308119108 
7 0.00477354461327 0.00471154786646 0.00272216508165 1.29772694588 1.13529846879 
8 0.00483039626852 0.00477117858827 0.00275176018476 1.2988962698 1.13940085365 
9 0.00487879710272 0.00482886983082 0.00277768960223 1.29992373466 1.14331148574 
10 0.00492617953569 0.00487789697945 0.00280301179737 1.30085833549 1.14692693375 
11 0.0049688606523 0.0049260049127 0.00282726855949 1.30171711922 1.15030516201 
12 0.00501124793664 0.00496902270243 0.00284832366742 1.30253262997 1.15352440099 
13 0.00504931248724 0.00501181604341 0.00287053012289 1.30330439091 1.15673166128 
14 0.00508752930909 0.00504992948845 0.00288951420225 1.30398436069 1.15991031386 
15 0.00512267183512 0.00508873863146 0.00290882168338 1.3046696949 1.16295917346 
16 0.00515836616978 0.00512399850413 0.0029263603501 1.30532343864 1.1658413444 
17 0.00519106723368 0.00515982089564 0.00294382707216 1.30597515583 1.16872935177 
18 0.00522349635139 0.00519274920225 0.00296013010666 1.30657632828 1.17158582321 
19 0.00525412103161 0.00522608449683 0.00297733186744 1.30719538212 1.17441013034 
20 0.00528440577909 0.00525604281574 0.00299401814118 1.30778046131 1.17721481364 
21 0.00531547097489 0.00528703769669 0.00300960731693 1.30835755348 1.17994666636 
22 0.00534402392805 0.0053184600547 0.00302467402071 1.30888731956 1.18276288498 
23 0.00537248793989 0.00534705957398 0.00303949136287 1.30941815853 1.18544223204 
24 0.0053998795338 0.0053761661984 0.00305333524011 1.30989618778 1.18810003926 
25 0.00542791001499 0.00540350330994 0.0030682538636 1.31040294647 1.19063905582 
26 0.00545483967289 0.00543141877279 0.00308296806179 1.31086082935 1.19317978795 
27 0.00548254325986 0.0054584457539 0.00309772812761 1.31132514954 1.19578639016 
28 0.00550995580852 0.00548643432558 0.003111068625 1.31175942898 1.19839979236 
29 0.00553658651188 0.00551344826818 0.0031244517304 1.31223221302 1.20088614416 
30 0.00556359766051 0.00554087152705 0.0031389654614 1.31267555237 1.20353524864 
31 0.00558951124549 0.0055679907091 0.00315293227322 1.31308312893 1.20602669181 
32 0.005615292117 0.00559429870918 0.00316648720764 1.31348486423 1.20851095387 
33 0.00564112514257 0.00561963953078 0.0031796824187 1.31390626907 1.21105426609 
34 0.00566597050056 0.0056458376348 0.00319326645695 1.31433196545 1.21356812155 
35 0.00568991573527 0.00567062431946 0.00320578785613 1.31474931717 1.21611573549 
36 0.00571493944153 0.00569488108158 0.00321865803562 1.3151796627 1.2187000929 
37 0.0057390560396 0.00571983540431 0.00323061761446 1.31559045792 1.22132194672 
38 0.00576257612556 0.00574441393837 0.00324258068576 1.31596322536 1.22403799028 
39 0.00578777678311 0.0057685021311 0.00325528951362 1.31636317253 1.2266203813 
40 0.00581230176613 0.00579369300976 0.00326783536002 1.31675847054 1.22921097294 
41 0.00583726074547 0.00581797072664 0.00328056630678 1.31716068268 1.23179802658 
42 0.0058620236814 0.00584314996377 0.00329352729023 1.31756289482 1.23446714331 
43 0.00588539522141 0.00586842466146 0.0033056740649 1.31793649673 1.23699453689 
44 0.00590951740742 0.00589180598035 0.0033181947656 1.31833012581 1.23964110207 
45 0.00593460258096 0.00591579684988 0.00332993501797 1.31873329163 1.24231613911 
46 0.0059594954364 0.00594148784876 0.00334192602895 1.31911011219 1.24509650059 
47 0.00598513381556 0.00596684683114 0.0033544995822 1.31949980736 1.24773877324 
48 0.006011324469 0.00599328521639 0.00336747686379 1.31986804485 1.25046204599 
49 0.00603836355731 0.00601951312274 0.00338016240858 1.32026608467 1.25311809728 
50 0.00606300728396 0.0060461894609 0.00339322327636 1.32067795277 1.25587333478 
51 0.00608790852129 0.00607126718387 0.00340648647398 1.32105250835 1.2587675772 
52 0.00611393898726 0.00609690835699 0.00341945304535 1.32146199226 1.26169234151 
53 0.00614043185487 0.00612289644778 0.00343223428354 1.32186730385 1.26466375888 
54 0.00616740854457 0.00615056511015 0.00344455777667 1.32228179455 1.26739123496 
55 0.00619382597506 0.00617653829977 0.00345800584182 1.32266195297 1.27016413918 
56 0.00622081477195 0.00620402209461 0.00347109884024 1.32304878712 1.27332690778 
57 0.00624762801453 0.00623055594042 0.00348447915167 1.32345552921 1.27613890384 
58 0.00627495534718 0.00625787395984 0.00349721359089 1.32384200573 1.27903578162 
59 0.00630197254941 0.00628490746021 0.00351003813557 1.32422931671 1.28211127512 
60 0.00632980465889 0.00631348835304 0.00352382892743 1.32461913109 1.28516363227 
61 0.00635960837826 0.00634085899219 0.00353812566027 1.32501800537 1.28837702647 
62 0.00638808589429 0.00637182733044 0.00355196092278 1.32543976784 1.29162177543 
63 0.00641725677997 0.00639989273623 0.00356538686901 1.32586391449 1.29488382209 
64 0.00644772360101 0.00643052253872 0.00357917975634 1.326281147 1.29821492953 
65 0.00647862255573 0.00645964033902 0.00359339104034 1.32670743942 1.30159069123 
66 0.00650959648192 0.00649178447202 0.00360852573067 1.32712121487 1.30491272858 
