mlu_x mlu_y lu90_x lu90_y lu50_x lu50_y ahc_x ahc_y competitive_ratio_x competitive_ratio_y 
0.00284564262256 0.999965277376 0.00284564262256 0.999965277376 0.0 0.00711813794141 0.5 1.0 0.5 1.0 
0.00326071740451 0.999918980544 0.00326071740451 0.999918980544 0.000183621071058 0.00711813794141 0.509900990099 1.0 0.509900990099 1.0 
0.00367579218646 0.99988425792 0.00367579218646 0.99988425792 0.000367242142115 0.00711813794141 0.519801980198 1.0 0.519801980198 1.0 
0.0040908669684 0.999849535296 0.0040908669684 0.999849535296 0.000550863213173 0.00711813794141 0.529702970297 1.0 0.529702970297 1.0 
0.00450594175035 0.999826386879 0.00450594175035 0.999826386879 0.000734484284231 0.00711813794141 0.539603960396 1.0 0.539603960396 1.0 
0.0049210165323 0.999745367423 0.0049210165323 0.999745367423 0.000918105355289 0.00711813794141 0.549504950495 1.0 0.549504950495 1.0 
0.00533609131425 0.999710644799 0.00533609131425 0.999710644799 0.00110172642635 0.00711813794141 0.559405940594 1.0 0.559405940594 1.0 
0.0057511660962 0.999629625343 0.0057511660962 0.999629625343 0.0012853474974 0.00711813794141 0.569306930693 1.0 0.569306930693 1.0 
0.00616624087814 0.999571754303 0.00616624087814 0.999571754303 0.00146896856846 0.00711813794141 0.579207920792 1.0 0.579207920792 1.0 
0.00658131566009 0.999456012222 0.00658131566009 0.999456012222 0.00165258963952 0.00711813794141 0.589108910891 1.0 0.589108910891 1.0 
0.00699639044204 0.99935184435 0.00699639044204 0.99935184435 0.00183621071058 0.00711813794141 0.59900990099 1.0 0.59900990099 1.0 
0.00741146522399 0.999282399102 0.00741146522399 0.999282399102 0.00201983178164 0.00711813794141 0.608910891089 1.0 0.608910891089 1.0 
0.00782654000594 0.999212953854 0.00782654000594 0.999212953854 0.00220345285269 0.00711813794141 0.618811881188 1.0 0.618811881188 1.0 
0.00824161478789 0.999120360189 0.00824161478789 0.999120360189 0.00238707392375 0.00711813794141 0.628712871287 1.0 0.628712871287 1.0 
0.00865668956983 0.999027766525 0.00865668956983 0.999027766525 0.00257069499481 0.00711813794141 0.638613861386 1.0 0.638613861386 1.0 
0.00907176435178 0.998946747069 0.00907176435178 0.998946747069 0.00275431606587 0.00711813794141 0.648514851485 1.0 0.648514851485 1.0 
0.00948683913373 0.998912024445 0.00948683913373 0.998912024445 0.00293793713692 0.00711813794141 0.658415841584 1.0 0.658415841584 1.0 
0.00990191391568 0.998796282364 0.00990191391568 0.998796282364 0.00312155820798 0.00711813794141 0.668316831683 1.0 0.668316831683 1.0 
0.0103169886976 0.9987036887 0.0103169886976 0.9987036887 0.00330517927904 0.00711813794141 0.678217821782 1.0 0.678217821782 1.0 
0.0107320634796 0.998495352955 0.0107320634796 0.998495352955 0.0034888003501 0.00711813794141 0.688118811881 1.0 0.688118811881 1.0 
0.0111471382615 0.99817127513 0.0111471382615 0.99817127513 0.00367242142115 0.00711813794141 0.69801980198 1.0 0.69801980198 1.0 
0.0115622130435 0.997708306809 0.0115622130435 0.997708306809 0.00385604249221 0.00711813794141 0.707920792079 1.0 0.707920792079 1.0 
0.0119772878254 0.996898112247 0.0119772878254 0.996898112247 0.00403966356327 0.00711813794141 0.717821782178 1.0 0.717821782178 1.0 
0.0123923626074 0.995057813169 0.0123923626074 0.995057813169 0.00422328463433 0.00711813794141 0.727722772277 1.0 0.727722772277 1.0 
0.0128074373893 0.992187409576 0.0128074373893 0.992187409576 0.00440690570539 0.00711813794141 0.737623762376 1.0 0.737623762376 1.0 
0.0132225121713 0.987048461209 0.0132225121713 0.987048461209 0.00459052677644 0.00711813794141 0.747524752475 1.0 0.747524752475 1.0 
0.0136375869532 0.978691883008 0.0136375869532 0.978691883008 0.0047741478475 0.00711813794141 0.757425742574 1.0 0.757425742574 1.0 
0.0140526617352 0.965670898969 0.0140526617352 0.965670898969 0.00495776891856 0.00711813794141 0.767326732673 1.0 0.767326732673 1.0 
0.0144677365171 0.946527158879 0.0144677365171 0.946527158879 0.00514138998962 0.00711813794141 0.777227722772 1.0 0.777227722772 1.0 
0.0148828112991 0.92101760437 0.0148828112991 0.92101760437 0.00532501106067 0.00711813794141 0.787128712871 1.0 0.787128712871 1.0 
0.015297886081 0.887811201519 0.015297886081 0.887811201519 0.00550863213173 0.00711813794141 0.79702970297 1.0 0.79702970297 1.0 
0.015712960863 0.846780634035 0.015712960863 0.846780634035 0.00569225320279 0.00711813794141 0.806930693069 1.0 0.806930693069 1.0 
0.0161280356449 0.798655077026 0.0161280356449 0.798655077026 0.00587587427385 0.00711813794141 0.816831683168 1.0 0.816831683168 1.0 
0.0165431104268 0.744927603329 0.0165431104268 0.744927603329 0.00605949534491 0.00711813794141 0.826732673267 1.0 0.826732673267 1.0 
0.0169581852088 0.688480190743 0.0169581852088 0.688480190743 0.00624311641596 0.00711813794141 0.836633663366 1.0 0.836633663366 1.0 
0.0173732599907 0.629000335652 0.0173732599907 0.629000335652 0.00642673748702 0.00711813794141 0.846534653465 1.0 0.846534653465 1.0 
0.0177883347727 0.568872324911 0.0177883347727 0.568872324911 0.00661035855808 0.00711813794141 0.856435643564 1.0 0.856435643564 1.0 
0.0182034095546 0.511232768898 0.0182034095546 0.511232768898 0.00679397962914 0.00711813794141 0.866336633663 1.0 0.866336633663 1.0 
0.0186184843366 0.456162687068 0.0186184843366 0.456162687068 0.00697760070019 0.00711813794141 0.876237623762 1.0 0.876237623762 1.0 
