x_range mlu lu90 lu50 ahc 
0 0.246734574437 0.175954923034 0.0920505970716 1.26291584969 
1 0.294073909521 0.204714611173 0.110941395164 1.27087318897 
2 0.303840965033 0.211058571935 0.115684725344 1.27306091785 
3 0.309549331665 0.214797213674 0.118615239859 1.27434575558 
4 0.314269930124 0.217620298266 0.120685614645 1.2754753828 
5 0.317506104708 0.219849899411 0.122353516519 1.27638864517 
6 0.32073622942 0.221819624305 0.123685136437 1.27710449696 
7 0.323882460594 0.223523125052 0.124878972769 1.27790391445 
8 0.326595723629 0.225076958537 0.125992804766 1.27864468098 
9 0.328660070896 0.226410165429 0.127011939883 1.27933824062 
10 0.330903768539 0.227823704481 0.127862364054 1.28000998497 
11 0.333134502172 0.229053482413 0.128752887249 1.28061378002 
12 0.334943056107 0.230202108622 0.129574939609 1.28131139278 
13 0.336863666773 0.231439068913 0.130357503891 1.28188681602 
14 0.338915556669 0.23255866766 0.131051197648 1.28254580498 
15 0.340615063906 0.233522519469 0.131666660309 1.28318631649 
16 0.342327058315 0.234551012516 0.132317826152 1.28370010853 
17 0.344024658203 0.235476404428 0.133070766926 1.2843310833 
18 0.345631718636 0.236323609948 0.133776456118 1.28489089012 
19 0.347253739834 0.237135618925 0.13436691463 1.28543746471 
20 0.348703950644 0.238016620278 0.134975686669 1.28601324558 
21 0.350069671869 0.238984897733 0.135543018579 1.28650200367 
22 0.351505696774 0.239838048816 0.136095866561 1.28706765175 
23 0.352980226278 0.240701809525 0.136708796024 1.28777110577 
24 0.354348421097 0.241561338305 0.13725848496 1.28834986687 
25 0.355741858482 0.242317572236 0.13782595098 1.28908240795 
26 0.357025384903 0.243102177978 0.138434574008 1.28977751732 
27 0.35860902071 0.243909552693 0.138937234879 1.29059314728 
28 0.36002728343 0.244637966156 0.139459222555 1.29134488106 
29 0.361509174109 0.245428264141 0.139928147197 1.29219830036 
30 0.362871348858 0.246184721589 0.140416488051 1.29321908951 
31 0.364291191101 0.246859371662 0.140886053443 1.2945779562 
32 0.365472853184 0.247547492385 0.141392752528 1.29637181759 
33 0.366865158081 0.248338028789 0.141835436225 1.29939067364 
34 0.368205040693 0.24914996326 0.142357990146 1.30917370319 
35 0.369639784098 0.249843746424 0.142776831985 1.31149637699 
36 0.37086263299 0.25049123168 0.143223583698 1.31284165382 
37 0.372178167105 0.251210361719 0.143686413765 1.31392157078 
38 0.373356163502 0.251964658499 0.144147783518 1.31475841999 
39 0.374614387751 0.252663582563 0.144620776176 1.31552624702 
40 0.375838309526 0.25340628624 0.144998311996 1.31620657444 
41 0.377122908831 0.254179090261 0.145413726568 1.31679654121 
42 0.378555178642 0.254956156015 0.145887285471 1.31732010841 
43 0.379898071289 0.255733847618 0.146344199777 1.31785392761 
44 0.381206333637 0.256541579962 0.146718665957 1.31843447685 
45 0.382441103458 0.257367640734 0.147197514772 1.31892001629 
46 0.383757084608 0.258168041706 0.147656872869 1.31946349144 
47 0.385076761246 0.258953511715 0.148102119565 1.31991863251 
48 0.386254698038 0.259762793779 0.148570582271 1.32038450241 
49 0.387618809938 0.260510444641 0.149027168751 1.32082438469 
