x_range mlu lu90 lu50 ahc 
0 0.000760290131439 -1.0 -1.0 1.26291584969 
1 0.294209182262 0.204748734832 0.110803723335 1.27174818516 
2 0.303692609072 0.211115479469 0.115829855204 1.27435660362 
3 0.309645503759 0.214834406972 0.118763037026 1.27612483501 
4 0.314406096935 0.217868462205 0.12108258903 1.27750313282 
5 0.317789822817 0.219888076186 0.122746989131 1.2790157795 
6 0.321141421795 0.221725091338 0.124171465635 1.28029239178 
7 0.32409748435 0.223649695516 0.125562727451 1.28152370453 
8 0.326555043459 0.225101903081 0.126725718379 1.28274285793 
9 0.328851819038 0.226561069489 0.127756148577 1.2838807106 
10 0.331211805344 0.227931395173 0.128703460097 1.28514194489 
11 0.333138227463 0.229144260287 0.129578202963 1.28623008728 
12 0.334943056107 0.230308800936 0.130440562963 1.28728270531 
13 0.336809515953 0.231527537107 0.131175279617 1.28876650333 
14 0.338742822409 0.232544049621 0.131963655353 1.29032230377 
15 0.340468227863 0.233669400215 0.132879272103 1.29225039482 
16 0.342144578695 0.234602972865 0.133604332805 1.29562067986 
17 0.343698829412 0.235581159592 0.134316682816 1.30072629452 
18 0.345350265503 0.236454844475 0.134974136949 1.30356895924 
19 0.346985936165 0.237336784601 0.135650083423 1.3051636219 
20 0.348573744297 0.238186508417 0.136315897107 1.30627942085 
21 0.35010522604 0.239029154181 0.136973798275 1.30723309517 
22 0.351498425007 0.23993332684 0.137602820992 1.30807459354 
23 0.352950155735 0.240786552429 0.138184145093 1.30888950825 
24 0.35438606143 0.241558074951 0.138784572482 1.30960333347 
25 0.355728954077 0.242373257875 0.139332637191 1.31022691727 
26 0.35703086853 0.243160426617 0.139877095819 1.31094563007 
27 0.358437299728 0.24401254952 0.140371978283 1.31158518791 
28 0.359735399485 0.244778364897 0.140928521752 1.31221759319 
29 0.361251264811 0.245452061296 0.141502559185 1.31276154518 
30 0.362618565559 0.24620822072 0.141990274191 1.31325507164 
31 0.363986074924 0.246980860829 0.142490565777 1.3137909174 
32 0.365268051624 0.247725009918 0.142948925495 1.31433498859 
33 0.366516470909 0.248401299119 0.143457472324 1.31486523151 
34 0.367886960506 0.249171942472 0.143991246819 1.31541132927 
35 0.369240581989 0.249995335937 0.144482523203 1.3159866333 
36 0.370507746935 0.250739127398 0.144923865795 1.31655776501 
37 0.371755331755 0.251398980618 0.145365789533 1.31713235378 
38 0.372958570719 0.252155303955 0.145851254463 1.31772542 
39 0.374229848385 0.252887636423 0.146299883723 1.31832933426 
40 0.37554243207 0.253689885139 0.14669328928 1.31904411316 
41 0.376872599125 0.254478663206 0.147185176611 1.31974303722 
42 0.378149360418 0.255275785923 0.147643506527 1.32047665119 
43 0.379522562027 0.256050378084 0.148124590516 1.32128167152 
44 0.380775630474 0.256834447384 0.148605287075 1.32194125652 
45 0.38202226162 0.257691830397 0.149059519172 1.32279205322 
46 0.383450359106 0.258457899094 0.149582833052 1.32391607761 
47 0.384792894125 0.259168446064 0.150033310056 1.32511687279 
48 0.386005669832 0.259891211987 0.15046544373 1.32682573795 
49 0.387321025133 0.26070395112 0.150922298431 1.32949995995 
50 0.388971596956 0.261518806219 0.151409462094 1.34000968933 
51 0.390295356512 0.262373685837 0.151867315173 1.35516309738 
52 0.391677677631 0.263177365065 0.152359977365 1.35717558861 
53 0.393024355173 0.263988524675 0.152829527855 1.35847473145 
54 0.3944272995 0.264925271273 0.153321921825 1.35971999168 
55 0.395897597075 0.26576474309 0.153823211789 1.36080002785 
56 0.397313177586 0.266636431217 0.15425491333 1.361718297 
57 0.398720473051 0.267478257418 0.154797032475 1.36238360405 
58 0.400185644627 0.268342673779 0.155277892947 1.3630913496 
59 0.401819258928 0.269276469946 0.155829757452 1.36373436451 
60 0.403463989496 0.270207196474 0.156368389726 1.3643938303 
61 0.405095279217 0.271144717932 0.15697452426 1.36496913433 
62 0.406714618206 0.272087484598 0.157481595874 1.36550045013 
63 0.408372372389 0.272981345654 0.15801538527 1.3659850359 
64 0.409819483757 0.273908257484 0.158555313945 1.3664804697 
65 0.411483287811 0.275040596724 0.159095227718 1.36697876453 
66 0.413168311119 0.276036113501 0.159663751721 1.36742317677 
67 0.414810925722 0.277043104172 0.160233557224 1.36788475513 
68 0.416293591261 0.278136909008 0.160786792636 1.36833405495 
69 0.417901009321 0.279196411371 0.16136226058 1.36878120899 
70 0.419742316008 0.280284613371 0.162070557475 1.36919975281 
71 0.421717584133 0.281388372183 0.162721902132 1.36957752705 
72 0.423668682575 0.282678425312 0.163397014141 1.36994993687 
73 0.425813674927 0.284008085728 0.164106220007 1.3702955246 
74 0.427713483572 0.285275936127 0.164781957865 1.37065219879 
75 0.429687082767 0.286539644003 0.165457859635 1.37098073959 
76 0.431748092175 0.287833660841 0.166274547577 1.37136805058 
77 0.433974295855 0.289153575897 0.167073145509 1.37167513371 
78 0.436250180006 0.290612399578 0.167860671878 1.37202262878 
79 0.438665807247 0.29222291708 0.16871213913 1.37233841419 
80 0.440841525793 0.293887913227 0.169682189822 1.37271142006 
81 0.443374097347 0.29549831152 0.170601055026 1.37308621407 
82 0.446017116308 0.297278672457 0.171557202935 1.37345182896 
83 0.448779761791 0.299119710922 0.172678902745 1.37379193306 
84 0.451640129089 0.30110296607 0.173769444227 1.37417674065 
85 0.455107241869 0.302950441837 0.174842238426 1.37456083298 
86 0.458112031221 0.304973900318 0.175969168544 1.37495994568 
87 0.462007462978 0.307209342718 0.177223950624 1.3753734827 
88 0.465749830008 0.309729576111 0.178521752357 1.37578582764 
