x_range single_mlu_sorted many_mlu_sorted single_mlu_unsorted many_mlu_unsorted single_mlu_ideal_sorted many_mlu_ideal_sorted single_mlu_ideal_unsorted many_mlu_ideal_unsorted many_mlu_point_sorted many_mlu_point_unsorted 
58 0.9547 0.9686 0.8678 0.8790 0.6377 0.6364 0.5931 0.5931 1.0632 0.9175 
59 0.9549 0.9699 0.9113 0.9230 0.6386 0.6377 0.6106 0.6115 1.0644 0.9792 
60 0.9622 0.9703 0.9109 0.9206 0.6389 0.6386 0.6101 0.6103 1.0654 0.9749 
61 0.9656 0.9718 0.8564 0.8749 0.6409 0.6388 0.5887 0.5887 1.0738 0.9095 
62 0.9659 0.9733 0.8513 0.8748 0.6430 0.6389 0.5827 0.5827 1.0844 0.9075 
63 0.9660 0.9746 0.9450 0.9596 0.6443 0.6399 0.6266 0.6266 1.0921 1.0315 
64 0.9665 0.9773 0.9439 0.9578 0.6491 0.6491 0.6266 0.6250 1.0988 1.0279 
65 0.9665 0.9775 0.9500 0.9616 0.6497 0.6497 0.6350 0.6312 1.1016 1.0367 
66 0.9665 0.9793 0.9490 0.9612 0.6498 0.6498 0.6309 0.6309 1.1206 1.0361 
67 0.9665 0.9840 0.9665 0.9773 0.6545 0.6610 0.6491 0.6491 1.1287 1.0988 
68 0.9665 0.9842 0.9660 0.9746 0.6773 0.6773 0.6443 0.6399 1.1318 1.0921 
69 0.9665 0.9876 0.8923 0.9149 0.6805 0.6839 0.6074 0.6101 1.1320 0.9648 
70 0.9665 0.9893 0.8912 0.9147 0.6839 0.6843 0.6073 0.6085 1.1323 0.9646 
71 0.9665 0.9903 0.8139 0.8293 0.6843 0.6866 0.5703 0.5709 1.1460 0.8858 
72 0.9665 0.9951 0.8137 0.8209 0.6866 0.6871 0.5685 0.5703 1.1490 0.8829 
73 0.9665 0.9981 0.8507 0.8723 0.6873 0.6873 0.5810 0.5784 1.1670 0.9063 
74 0.9665 0.9993 0.8482 0.8701 0.6899 0.6874 0.5784 0.5775 1.1780 0.9060 
75 0.9665 0.9993 0.9091 0.9170 0.6918 0.6918 0.6089 0.6102 1.1788 0.9699 
76 0.9665 0.9993 0.8955 0.9169 0.6990 0.6990 0.6082 0.6101 1.1960 0.9650 
77 0.9665 0.9993 0.8414 0.8584 0.7020 0.7020 0.5775 0.5747 1.2424 0.9010 
78 0.9665 0.9993 0.8365 0.8567 0.7114 0.7114 0.5751 0.5736 1.2463 0.8986 
79 0.9665 0.9993 0.8734 0.8886 0.7159 0.7159 0.5972 0.5990 1.2815 0.9310 
80 0.9665 0.9993 0.8704 0.8850 0.7583 0.7583 0.5961 0.5961 1.3278 0.9277 
