x_range single_static_y single_ideal_y multi_static_y multi_ideal_y 
0 0.0322871721926 0.027949196191 0.0328627045137 0.0279491961905 
1 0.0344382381489 0.031433752381 0.0359345414623 0.031433752381 
2 0.0350972899586 0.0320096761905 0.0365674347919 0.0320096761905 
3 0.0355532445614 0.0325086933333 0.0370094061826 0.0325086933333 
4 0.0358733968154 0.0328202057143 0.0373190024459 0.0328202057143 
5 0.036126472832 0.0331429180953 0.0376282917178 0.0331429180952 
6 0.0363013771255 0.0333426590476 0.0378661236765 0.0333426590476 
7 0.0365120038044 0.0335592380953 0.0380861286927 0.0335592380952 
8 0.036717960781 0.0337275885714 0.0382857435134 0.0337275885714 
9 0.0368781584862 0.0338864457143 0.0384861106821 0.0338864457143 
10 0.0370321448228 0.0340552685714 0.0386471352428 0.0340552685714 
11 0.0371614924729 0.0341825371429 0.0387747471184 0.0341825371429 
12 0.0372944610007 0.0343461028572 0.0389052844433 0.0343461028571 
13 0.0374226730657 0.0344818742863 0.0390373204538 0.0344818742857 
14 0.0375592451707 0.0346235580953 0.0391618619213 0.0346235580952 
15 0.0376469774438 0.0347408304762 0.039265784433 0.0347408304762 
16 0.0377814679275 0.0348791619048 0.0393668982572 0.0348791619048 
17 0.0378979470845 0.0349831619048 0.0394948425138 0.0349831619048 
18 0.0380076029987 0.0350793752381 0.0396105560097 0.0350793752381 
19 0.0380951958491 0.0351883733333 0.0397216188731 0.0351883733333 
20 0.0381945266078 0.0352901790476 0.0398184972962 0.0352901790476 
21 0.0382930579899 0.0353821257149 0.0399018487058 0.0353821257143 
22 0.0383710789088 0.0354835047619 0.0400027860384 0.0354835047619 
23 0.0384748331285 0.0355870019048 0.0401212373259 0.0355870019048 
24 0.0385657991391 0.035677592381 0.0402160471073 0.035677592381 
25 0.0386550003671 0.0357668571429 0.0403101539834 0.0357668571429 
26 0.0387430208532 0.03585792 0.0403939522875 0.03585792 
27 0.0388183265531 0.0359570742857 0.040474523042 0.0359570742857 
28 0.0389165337491 0.0360262095238 0.0405483267868 0.0360262095238 
29 0.0389998940673 0.0361136152381 0.040643911901 0.0361136152381 
30 0.0390654626633 0.0362049066667 0.0407261952266 0.0362049066667 
31 0.0391465639707 0.0362649142857 0.0408093705823 0.0362649142857 
32 0.0392265665664 0.0363416380953 0.0408812039646 0.0363416380952 
33 0.0393007932009 0.0364241066667 0.0409609927952 0.0364241066667 
34 0.039380880648 0.0364993219048 0.0410376574208 0.0364993219048 
35 0.0394549318345 0.0365802209524 0.0411338225277 0.0365802209524 
36 0.0395361566956 0.03668704 0.0412177915358 0.03668704 
37 0.0396180656454 0.0367392 0.04129158967 0.0367392 
38 0.0397026724464 0.0368104685714 0.0413716445889 0.0368104685714 
39 0.0397911667723 0.0368835657143 0.0414474277123 0.0368835657143 
40 0.0398536511324 0.0369719009524 0.0415372417559 0.0369719009524 
41 0.0399293890927 0.0370600076191 0.0416236771705 0.037060007619 
42 0.0400072133815 0.0371538133333 0.0416986423001 0.0371538133333 
43 0.0400829530366 0.0372450590476 0.0417601789476 0.0372450590476 
44 0.0401529528563 0.0373284876191 0.0418539095876 0.037328487619 
45 0.0402288146252 0.0374088990476 0.0419343043071 0.0374088990476 
46 0.0403015718283 0.0374817371429 0.0420098248162 0.0374817371429 
47 0.0403776065961 0.0375504457143 0.0420883496597 0.0375504457143 
48 0.0404563068263 0.0376246247619 0.0421617826033 0.0376246247619 
49 0.0405297145648 0.0377031314286 0.0422426129623 0.0377031314286 
50 0.0406143723171 0.0377839238095 0.042313248958 0.0377839238095 
51 0.0406850690145 0.0378600990476 0.0423815391453 0.0378600990476 
